recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.021,0.0419,0.0198,0.1115,0.0088,0.0131,0.9268,0.0298,257.8672,0.9954,0.0035,0.0,6508ebaf-4a41-4005-86c5-9f390ecba2dd,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0453,0.0794,0.041,0.2011,0.0198,0.0252,0.9464,0.38,101.1689,0.8906,0.0004,0.0009,7492371c-4080-42ba-97f0-49bc26c85b6e,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0119,0.0293,0.0125,0.073,0.0054,0.0087,0.8745,0.0196,346.1999,0.9987,0.0041,0.0,d82850ef-1fcb-456a-90fd-85581626b0de,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0204,0.0418,0.0194,0.1105,0.0086,0.0127,0.9034,0.4684,86.1353,0.8409,0.0004,0.0002,4bca6d76-aa4e-4cef-8461-bc6084071543,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0209,0.0399,0.0191,0.1104,0.0084,0.0127,0.9264,0.0369,236.1143,0.9947,0.0029,0.0,1bd4693b-2f50-46f4-9533-11e301e72980,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0221,0.0434,0.0204,0.1199,0.0087,0.0137,0.8886,0.4579,90.8561,0.8447,0.0004,0.0,f0f8baf8-b021-4734-9278-6830a899176f,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0377,0.0675,0.0341,0.1762,0.016,0.0215,0.948,0.2879,122.8067,0.9309,0.0005,0.0008,f4c1d6ec-c525-4637-8be0-5320e4583e2f,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0241,0.0459,0.0222,0.1222,0.0101,0.0142,0.9358,0.0602,205.9352,0.9912,0.0019,0.0,08020b61-cdd2-4ed7-b414-39e37af21794,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.026,0.0493,0.0239,0.1275,0.011,0.015,0.9366,0.0513,230.8036,0.9923,0.0022,0.0,58e35b2f-1863-4818-b625-272e4f241c41,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0329,0.0597,0.0296,0.1567,0.0136,0.0189,0.946,0.2184,142.3479,0.9546,0.0007,0.0006,449d002e-cef9-496c-9200-934a0e6fdca1,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0203,0.039,0.0185,0.1094,0.0079,0.0125,0.9176,0.4328,83.3811,0.8585,0.0004,0.0006,1f3e56a1-0ba8-41c8-9e5f-ba6f7cda1b9e,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0203,0.039,0.0185,0.1094,0.0079,0.0125,0.9176,0.4328,83.3811,0.8585,0.0004,0.0006,c59c2b8f-3bd9-47e4-af29-3a16734b1273,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0433,0.0772,0.0394,0.1967,0.0189,0.0244,0.9483,0.334,109.2205,0.9112,0.0005,0.0009,a65ab927-81d7-452c-b19b-345ab849537f,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0177,0.0336,0.016,0.0963,0.0069,0.0109,0.9159,0.3346,99.0602,0.912,0.0005,0.0006,2e56828e-315f-455f-ad70-4d78ea8bc6d1,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0247,0.0467,0.0227,0.1227,0.0103,0.0144,0.9316,0.0387,243.1864,0.9944,0.0028,0.0,726520ed-61f3-4feb-93c6-ab1d0b9acc19,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0376,0.0677,0.0341,0.1786,0.0158,0.0218,0.9479,0.2973,121.8346,0.9273,0.0005,0.0008,4b176224-eb6d-4376-92b0-8cc141d6dd8d,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0311,0.0575,0.0286,0.1496,0.0136,0.0177,0.9442,0.0889,198.5983,0.9855,0.0014,0.0,2759a320-9f7c-4ad2-beac-46da131d1036,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0138,0.0315,0.014,0.0815,0.006,0.0096,0.887,0.0238,330.0175,0.9981,0.0037,0.0,8c33cc8e-d7d6-4e87-ba0d-20e94f70ccd5,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0279,0.0515,0.0253,0.1365,0.0117,0.0159,0.9411,0.0902,179.564,0.9854,0.0014,0.0,ebdc74f9-ee15-4e5c-9a5f-6c5c39a1e263,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0191,0.039,0.0182,0.1022,0.0081,0.0119,0.9178,0.0222,277.3236,0.9969,0.0044,0.0,45a48f0f-70a9-4371-993e-d790e60e7221,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0347,0.0622,0.0311,0.1684,0.014,0.0203,0.9451,0.336,119.817,0.9137,0.0005,0.0009,0d49b5ec-b994-47ff-bd98-35e183a07f66,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0243,0.0501,0.0232,0.1313,0.0102,0.0153,0.8884,0.4467,98.0567,0.8492,0.0004,0.0,1dabaa5e-8318-4d51-b0ec-82f38b600e38,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0116,0.0284,0.0121,0.0729,0.005,0.0086,0.8696,0.0229,358.8666,0.9985,0.0036,0.0,a5b22854-12b2-4cce-ac76-8cbb069e7449,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0168,0.0338,0.0158,0.0923,0.0069,0.0105,0.9059,0.3535,103.0784,0.9093,0.0004,0.0006,857eaeba-7ef3-41a9-a234-add6d6c1deb4,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0165,0.0348,0.0159,0.0924,0.0069,0.0107,0.9046,0.0155,299.3755,0.9977,0.006,0.0,5036b382-e2fe-47bb-9e87-9b12980b6d20,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0204,0.0418,0.0194,0.1105,0.0086,0.0127,0.9034,0.4684,86.1353,0.8409,0.0004,0.0002,762a3662-6d2e-4116-9388-d761ef6eacf6,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
0.0174,0.0339,0.016,0.0937,0.0071,0.0105,0.8887,0.4245,91.9642,0.8706,0.0004,0.0004,c239bb4b-a88c-49cd-a71b-71b27b5ac324,AMAZON_BOOKS_60CORE_KG_BPR_PARAMS_TUNING_1702631222
