recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0207,0.0113,0.0119,0.0301,0.008,0.0032,0.7372,0.0023,417.9592,0.9991,0.0959,0.0,b4185478-c298-415f-ad09-a870a27e02d9,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0207,0.0113,0.0119,0.0301,0.008,0.0032,0.7372,0.0023,417.9592,0.9991,0.0959,0.0,e1634e34-8ae2-4328-aa15-29a85ba65e8c,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0214,0.0119,0.0125,0.0302,0.0085,0.0032,0.7385,0.0028,413.4915,0.999,0.0787,0.0,ef0b3671-6c1b-4eb9-b013-37e69e1e8452,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0207,0.0113,0.0119,0.0301,0.008,0.0032,0.7372,0.0023,417.9592,0.9991,0.0959,0.0,d8d238da-a15c-46a2-8d53-88b06a88e3e4,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0322,0.0214,0.0193,0.056,0.0122,0.0061,0.7422,0.031,208.7405,0.9909,0.0145,0.0,53c21151-13e0-4751-bd08-55c1aec93bbd,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0541,0.0323,0.031,0.0896,0.0193,0.0097,0.8846,0.591,132.8279,0.8906,0.0011,0.0024,53f147c4-13d4-4c65-b67b-50a03742f3de,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0613,0.0366,0.0352,0.1004,0.0221,0.011,0.8765,0.613,130.5154,0.8795,0.0011,0.0027,ed9dfb39-37d7-46ee-8e16-3969ab5299c0,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0831,0.0483,0.048,0.1298,0.031,0.0144,0.8946,0.7943,132.1463,0.8131,0.0009,0.0104,375e2069-1749-4ab6-8b01-7066c185c45a,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0436,0.0266,0.0255,0.0711,0.0162,0.0078,0.8271,0.3935,103.4554,0.8907,0.0017,0.0,42935996-46c4-4b9f-a515-8cfd0078b28c,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0316,0.0204,0.0184,0.0548,0.0113,0.0059,0.7405,0.0337,198.1981,0.9892,0.0138,0.0,55cba39f-bfb5-4b3c-bf00-81f7d9f559ee,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0361,0.0222,0.0209,0.0611,0.013,0.0067,0.7966,0.2607,106.2127,0.9167,0.0025,0.0,2fc27e4f-662f-44dc-bb73-474b4305bf0c,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0207,0.0113,0.0119,0.0301,0.008,0.0032,0.7372,0.0023,417.9592,0.9991,0.0959,0.0,b5e82ea1-7c9b-4562-90e5-38c3faddf015,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0328,0.0203,0.0189,0.0578,0.0114,0.0064,0.793,0.2831,101.6657,0.9041,0.0024,0.0,ba3995e0-53d8-4bcf-a773-d6b8f48b2037,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0721,0.0417,0.042,0.1102,0.0278,0.012,0.8652,0.7867,104.3351,0.7724,0.0009,0.004,941f9d39-7920-4fbe-979a-16797775260b,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
0.0231,0.0136,0.0137,0.0334,0.0093,0.0036,0.7371,0.0036,414.1513,0.999,0.0671,0.0,3c2f7a29-de8d-4d05-afc2-4a91253182a6,AMAZON_BOOKS_60CORE_KG_CFKG_PARAMS_TUNING_1705829105
