recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0769,0.0461,0.0449,0.1213,0.0289,0.0136,0.9016,0.3903,153.6171,0.9299,0.0016,0.0002,703d5e88-6d14-4825-b90c-7e4970daacd6,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.057,0.0346,0.0333,0.0922,0.0214,0.01,0.8617,0.7496,88.2685,0.7667,0.001,0.0034,89b0b331-232a-42be-ba76-2fc59e552896,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.1042,0.0639,0.0626,0.1561,0.0423,0.0175,0.9048,0.7296,111.6676,0.8092,0.001,0.0027,01c2dd8f-00d0-4dcc-a8da-a0bc9256b111,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0575,0.0348,0.0334,0.0914,0.0214,0.0101,0.8712,0.1162,224.5883,0.9857,0.0042,0.0,69ffb4b4-3d3d-4025-b57f-075f238c4f44,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0579,0.0358,0.0343,0.0911,0.0226,0.0098,0.8537,0.6881,101.5166,0.8101,0.001,0.0018,3e3f24f0-4de1-4a53-b1bd-1cfb14de8a29,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0565,0.0338,0.0329,0.0903,0.0212,0.0098,0.8624,0.6656,109.7409,0.8327,0.0011,0.0015,47873bd6-61cb-45f4-8b55-28cde6e8e2db,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0515,0.0323,0.0304,0.0841,0.0196,0.0091,0.8556,0.1186,244.0976,0.9887,0.0039,0.0,d0f1e2a2-aa50-45f7-a99c-760db10eef03,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0374,0.0247,0.0223,0.0635,0.014,0.007,0.7716,0.6058,217.4296,0.9338,0.0009,0.0018,d10f09aa-d4cd-4d00-9c57-13014bcb8334,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0573,0.0337,0.0326,0.0931,0.0203,0.0101,0.8651,0.5487,131.215,0.8972,0.0012,0.0013,b1de3406-3e41-46aa-93a8-d1ddb43ac6e9,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0787,0.046,0.0451,0.1233,0.0287,0.0138,0.9035,0.3492,149.5413,0.9362,0.0018,0.0001,ecedd160-955d-4a15-ab6a-29974c38f0de,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0542,0.0324,0.0315,0.0876,0.0202,0.0096,0.8562,0.6988,96.2531,0.8047,0.001,0.0014,3f30eb22-cb52-4993-9982-5d5e55a5dc9d,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
0.0393,0.0258,0.0235,0.0656,0.015,0.0072,0.8134,0.3644,259.5968,0.9766,0.0013,0.0011,5e7a87d1-dd1c-4632-ada6-bb3199e161de,AMAZON_BOOKS_60CORE_KG_CKE_PARAMS_TUNING_1705828189
