recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0205,0.0434,0.0199,0.1192,0.0083,0.0139,0.9128,0.0435,172.5289,0.989,0.0028,0.0,aa29e41e-59d2-4dad-8d59-33c506878698,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0208,0.0453,0.0206,0.1199,0.0087,0.0142,0.9098,0.0473,172.222,0.9877,0.0026,0.0,b4fd814f-d6ba-4bd6-ac6e-f02928588f2a,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0208,0.0453,0.0206,0.1199,0.0087,0.0142,0.9098,0.0473,172.2219,0.9877,0.0026,0.0,771ee529-fdfb-42a2-b13a-2831ea1e75f9,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,630c1026-6767-43bd-893d-a59f601972a3,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,9519465c-dd18-4015-8bf7-e7d9b143228f,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0205,0.0434,0.0199,0.1192,0.0083,0.0139,0.9128,0.0435,172.5289,0.989,0.0028,0.0,c1038b1b-2528-404e-8d56-9406ff25cd8b,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,8cb4733b-d8e6-4beb-8f09-9b522d8bfd63,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0097,0.0234,0.01,0.0656,0.0039,0.0075,0.8712,0.0048,287.5476,0.9986,0.0177,0.0,589ade70-38de-4c4c-8e4b-3cf8d4092fe5,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0187,0.0405,0.0184,0.1093,0.0076,0.0129,0.9068,0.034,187.6135,0.9918,0.0034,0.0,37bb9e24-be0d-4291-a379-62269cda5480,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,58c3d61b-f683-4757-9fba-ddf47be66352,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,65cf4712-e232-4d40-8423-27700ba5b871,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0205,0.0434,0.0199,0.1192,0.0083,0.0139,0.9128,0.0435,172.5289,0.989,0.0028,0.0,9511feaf-bf5c-4e21-9e0b-2a370e651fb3,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,933a1644-9f8b-49cf-8d70-cc9e5af59462,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,1c19a3f7-7f93-4302-a764-591334d9f261,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0208,0.0453,0.0206,0.1199,0.0087,0.0142,0.9098,0.0473,172.222,0.9877,0.0026,0.0,7a80ddef-25b1-4bc8-9e59-dc19705a7011,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,641158c2-1b38-44b7-bac6-08850dc005a0,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0095,0.0039,0.0272,0.0015,0.0029,0.7171,0.0006,384.9166,0.9997,0.0839,0.0,beddbac1-67ee-423b-954b-fa84c634dd34,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0095,0.0039,0.0272,0.0015,0.0029,0.7171,0.0006,384.9166,0.9997,0.0839,0.0,708f5062-bb6f-4bb2-95ca-13bd6523909e,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,937c3b82-ff9c-437c-8238-36a15ae2c633,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0205,0.0434,0.0199,0.1192,0.0083,0.0139,0.9128,0.0435,172.5289,0.989,0.0028,0.0,b247594e-b13a-4422-bcd0-ec896ed770f5,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,09d243a0-8ef4-42db-85ef-898912b06d5a,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0095,0.0039,0.0272,0.0015,0.0029,0.7171,0.0006,384.9166,0.9997,0.0839,0.0,348ce9a5-ebde-46a0-ae42-d2011325ee07,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0103,0.0041,0.0273,0.0016,0.0029,0.7081,0.001,394.9849,0.9997,0.0569,0.0,226590e2-bef2-4101-89f4-f106259fc771,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0187,0.0405,0.0184,0.1093,0.0076,0.0129,0.9068,0.034,187.6135,0.9918,0.0034,0.0,b89c7994-0dd2-4f37-9c94-a2d73084af19,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,7652185b-d044-4bf3-93eb-3627e8cfc8b4,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0187,0.0405,0.0184,0.1093,0.0076,0.0129,0.9068,0.034,187.6135,0.9918,0.0034,0.0,4c825a7e-b868-4758-9d44-b4bacf633d02,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0036,0.0095,0.0039,0.0272,0.0015,0.0029,0.7171,0.0006,384.9166,0.9997,0.0839,0.0,8af789e6-3c3f-4821-a5a6-8d9b73c4ed18,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0097,0.0234,0.01,0.0656,0.0039,0.0075,0.8712,0.0048,287.5476,0.9986,0.0177,0.0,509153ae-aca6-4b96-a550-39300ddaca0e,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,93ac19e6-6e55-4c27-888e-1292850ccc7a,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0187,0.0405,0.0184,0.1093,0.0076,0.0129,0.9068,0.034,187.6135,0.9918,0.0034,0.0,f2b24032-a09b-480d-ba75-e97b11abb258,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,6e574286-8501-4c1b-8e59-b50bffa0a22e,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0218,0.0432,0.0204,0.1229,0.0085,0.0144,0.9115,0.0504,170.0111,0.9872,0.0025,0.0,84129497-14e8-424d-8a56-e3a835999c07,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
0.0208,0.0453,0.0206,0.1199,0.0087,0.0142,0.9098,0.0473,172.222,0.9877,0.0026,0.0,014eb7dc-389e-4c6c-bcdb-5ef1202574a4,AMAZON_BOOKS_60CORE_KG_DMF_PARAMS_TUNING_1702717203
