recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0879,0.1621,0.0855,0.3281,0.0466,0.0479,0.889,0.5665,62.8031,0.7891,0.0003,0.1428,c18963fe-213a-454a-80c6-120f83e400ec,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0902,0.1665,0.0877,0.3346,0.048,0.0487,0.8922,0.5745,66.6886,0.7887,0.0003,0.0875,385d3b26-fa25-43d0-a97e-f915d01d27d2,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0895,0.1638,0.0867,0.3323,0.0475,0.0481,0.8998,0.5695,68.1941,0.7946,0.0003,0.0859,2a53bdad-3ad0-4254-8837-188f05607fd4,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0872,0.1566,0.0831,0.3236,0.0453,0.0459,0.9199,0.5541,72.7449,0.8096,0.0003,0.0733,dff2818f-3401-4403-87b4-14095542d207,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.1037,0.193,0.1043,0.3717,0.0584,0.0603,0.7318,0.6129,52.6551,0.74,0.0003,0.0693,2855e1a9-3961-4709-bc85-a657c6ab951b,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0858,0.1541,0.0814,0.3168,0.0444,0.0442,0.9317,0.5367,77.6719,0.825,0.0003,0.0607,8a83fe7e-ee7d-476b-8181-5f75b7bd7b6c,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0848,0.153,0.081,0.3165,0.044,0.0449,0.9183,0.5502,68.5868,0.8094,0.0003,0.1226,66dab436-7479-4d36-8207-f8f6cafbbb1e,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.087,0.1599,0.0844,0.3248,0.0461,0.0471,0.8973,0.5605,64.1407,0.7958,0.0003,0.1403,5fd9ce96-8826-415c-9915-4a741ec93ef9,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0902,0.1665,0.0877,0.3346,0.048,0.0487,0.8922,0.5745,66.6886,0.7887,0.0003,0.0875,dd210cfe-5875-460b-9c18-2c2d4bb4aeda,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0848,0.153,0.081,0.3165,0.044,0.0449,0.9183,0.5502,68.5868,0.8094,0.0003,0.1226,a60e2528-9a63-457a-b177-f9b5bcc0c556,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0872,0.1566,0.0831,0.3236,0.0453,0.0459,0.9199,0.5541,72.7449,0.8096,0.0003,0.0733,4cd22197-6c7c-416f-960f-69eff507e514,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
0.0879,0.1621,0.0855,0.3281,0.0466,0.0479,0.889,0.5665,62.8031,0.7891,0.0003,0.1428,460edecf-c3e8-45eb-9376-b588dae4aac9,AMAZON_BOOKS_60CORE_KG_ITEMKNN_PARAMS_TUNING_1706339710
