recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0445,0.0245,0.0242,0.0745,0.0144,0.008,0.8748,0.7069,116.1005,0.8226,0.001,0.0034,063e7495-159d-4186-bab8-8c6f519d7a28,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711830257
0.0264,0.0173,0.0162,0.0422,0.0108,0.0046,0.7867,0.1442,270.0602,0.992,0.0027,0.0063,475076e8-8f50-4539-9342-c992f9f32ca3,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711830257
0.0368,0.0673,0.0337,0.1769,0.0157,0.0214,0.9496,0.3377,111.8125,0.9084,0.0005,0.0008,f7e18c91-67ec-4e8e-a763-f4e2bab87799,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711594958
0.0274,0.0157,0.0156,0.0434,0.01,0.0047,0.7775,0.1498,181.1445,0.9811,0.0033,0.028,3d6206ef-622d-4ba1-9228-e837f2a8fdb2,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711830257
0.0202,0.0417,0.0192,0.1126,0.0082,0.0129,0.8922,0.4471,91.3236,0.8512,0.0004,0.0005,2655a874-800c-4dde-bede-149ff7d45258,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711594958
0.0199,0.0415,0.019,0.1125,0.0079,0.013,0.892,0.4538,90.9736,0.8481,0.0004,0.0006,f61280b1-9c62-4a2f-963f-407e8ff97b5d,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711594958
0.0161,0.0314,0.0148,0.0887,0.0065,0.0098,0.8984,0.3989,91.1693,0.8814,0.0004,0.0008,c83760ea-12c3-4c35-aab1-b4123371d07d,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711594958
0.0511,0.0295,0.0288,0.0834,0.0179,0.0092,0.889,0.6758,152.6498,0.8889,0.001,0.0059,31e5e6cb-8ddb-493c-aa5e-7df4443a49ef,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711830257
0.0477,0.0269,0.0266,0.077,0.0166,0.0082,0.8526,0.7927,87.5426,0.7389,0.0009,0.0082,7200ab2d-74ca-468b-9bb9-8b0d15190db6,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711830257
0.0346,0.0205,0.0194,0.0582,0.0118,0.0063,0.8565,0.1382,239.8263,0.9878,0.0034,0.0002,342fa88a-b157-4339-b34c-eee736d029ca,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711830257
0.0367,0.0672,0.0334,0.1769,0.0153,0.0215,0.9502,0.3152,121.686,0.9193,0.0005,0.0009,766aa032-b050-42e2-8755-d6d9977fded0,AMAZON_BOOKS_60CORE_KG_KGCN_PARAMS_TUNING_1711594958
