recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0519,0.03,0.0291,0.0861,0.0178,0.0093,0.895,0.5206,139.8507,0.9015,0.0012,0.0054,15b8bc4f-6aab-4530-820f-ab85e75f268b,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.074,0.0426,0.0421,0.1164,0.0267,0.013,0.9063,0.6165,133.1574,0.8644,0.0011,0.0008,ad80eef8-1e9a-4daa-8642-ac83973c4254,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0843,0.0487,0.0489,0.1288,0.0319,0.0142,0.8998,0.7524,117.0691,0.7977,0.001,0.0021,707e30d9-3d3c-4d44-857f-2a54aed81503,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.029,0.0181,0.0165,0.0486,0.0102,0.0051,0.8365,0.0438,233.8758,0.9933,0.0096,0.0005,90b1c10f-7d3d-40f8-b23d-4b0a8f66d912,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0346,0.0204,0.0194,0.0582,0.0118,0.0063,0.8565,0.1377,239.8077,0.9878,0.0034,0.0002,009e7a5a-1f91-4314-8104-33912f0f8303,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0625,0.0351,0.0355,0.0963,0.0229,0.0104,0.8836,0.7526,105.1201,0.7912,0.001,0.0059,b8e69555-136f-492d-bd9a-60541e97f8ce,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0595,0.0359,0.0348,0.0954,0.0225,0.0105,0.8546,0.7909,110.0336,0.7667,0.0009,0.0011,b2ef3e53-86ba-4ab5-9596-05f3865ebd2b,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0468,0.0288,0.0271,0.0795,0.0168,0.0087,0.8677,0.6971,118.2136,0.8267,0.001,0.0006,1028980d-cedf-403b-ad90-fb1e3d3684ca,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0686,0.0374,0.0381,0.1048,0.024,0.0114,0.9007,0.6706,113.3365,0.8301,0.001,0.0069,5dcf3940-a5ca-4f22-a3b7-ab68cdd72a0a,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0295,0.0196,0.0179,0.0478,0.0118,0.0052,0.7934,0.0409,273.7487,0.9953,0.0095,0.0041,d58318ef-4c49-44c2-8865-40b4eaa32bee,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.063,0.0355,0.0358,0.0972,0.0232,0.0105,0.8836,0.752,105.1451,0.7912,0.001,0.006,3dd71ede-ce35-459c-b94a-6192f85632e4,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0419,0.0253,0.0238,0.0726,0.0144,0.008,0.8822,0.2112,204.9922,0.9747,0.0025,0.0001,1929439a-e402-40c8-b9cc-f301fb243533,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
0.0261,0.0166,0.0151,0.0442,0.0093,0.0047,0.8171,0.0344,237.2455,0.9945,0.0118,0.0001,01cd5fd8-455f-44c2-9004-602a62f06dc1,AMAZON_BOOKS_60CORE_KG_KGNNLS_PARAMS_TUNING_1704967299
