recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0238,0.0415,0.0208,0.1159,0.0093,0.0134,0.8803,0.6091,38.1052,0.6998,0.0003,0.0004,217c8f58-c047-467d-a01f-ea00629c7db8,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0211,0.0355,0.018,0.1039,0.0079,0.0117,0.9069,0.6283,34.1447,0.6945,0.0003,0.0013,ed45bb4c-b394-4e80-8959-b89949298d13,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0164,0.0314,0.0152,0.0903,0.0066,0.0102,0.8835,0.5241,43.343,0.7768,0.0003,0.0009,0dae8645-8c6a-46c2-8f5b-753b67358fc2,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0498,0.0801,0.0433,0.206,0.0213,0.0261,0.9376,0.5669,55.4485,0.7419,0.0003,0.0003,af42206c-a7ac-477f-b997-91becb8183b5,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0394,0.0686,0.0352,0.176,0.0167,0.0217,0.9473,0.4539,65.9991,0.8294,0.0004,0.0026,921c9da9-85fc-4aa0-a464-0b56592ccc51,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0198,0.0423,0.0192,0.1133,0.0081,0.0133,0.9216,0.0834,99.8126,0.9816,0.0016,0.0,31cdc369-33b6-4480-96a5-3826799a3e8f,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0164,0.0314,0.0152,0.0903,0.0066,0.0102,0.8835,0.5241,43.343,0.7768,0.0003,0.0009,bf9a7ddc-9682-4756-9be8-b9ee6eee37b8,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0489,0.0797,0.0428,0.2035,0.0212,0.0254,0.9443,0.5345,59.7061,0.7747,0.0003,0.004,7328cafa-1794-41ab-a170-524249d19b9d,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0244,0.043,0.0218,0.116,0.0102,0.0137,0.8814,0.6195,37.4225,0.6943,0.0003,0.0008,7e8cb33d-c611-45ee-aef6-bea520e35cd1,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0323,0.0573,0.0289,0.1552,0.0132,0.0187,0.9462,0.4097,69.9064,0.8542,0.0004,0.0027,6947e072-cb64-461a-84e2-425212c9a62c,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0175,0.0396,0.0178,0.1042,0.0076,0.0124,0.9012,0.0232,180.2156,0.9952,0.0046,0.0,5fe66803-b0c5-4fb4-ae07-19e8773afd7c,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0139,0.0311,0.0139,0.0825,0.0058,0.0097,0.8828,0.0133,267.2314,0.998,0.0069,0.0,d43175c9-df39-4e5f-bd23-51f7b24be5fc,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0159,0.0287,0.0139,0.0839,0.0059,0.0094,0.9203,0.444,44.8149,0.8382,0.0004,0.0033,befdac70-faad-4207-ae16-2131add6574b,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0175,0.0288,0.0147,0.0874,0.0064,0.0097,0.9211,0.5444,35.9532,0.7663,0.0003,0.001,4a21d6c2-2468-4197-bbd9-f1667c58f13c,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0193,0.0335,0.0169,0.0959,0.0077,0.0109,0.904,0.6213,33.768,0.6992,0.0003,0.0008,bfd40a8b-e55e-4c0d-ae9d-5059fbd277bf,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0153,0.0286,0.0138,0.0837,0.0059,0.0094,0.9208,0.4806,41.1884,0.8102,0.0004,0.0005,32aa5787-d294-4b56-a635-70aede692518,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0147,0.0326,0.0146,0.0864,0.0061,0.0102,0.8828,0.0143,257.2715,0.9977,0.0065,0.0,bf28040d-30e0-49c0-ada9-6862bde0f605,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0211,0.0355,0.018,0.1039,0.0079,0.0117,0.9069,0.6283,34.1447,0.6945,0.0003,0.0013,c7aa50f2-2574-452a-9f13-32c6c7d3e30b,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0163,0.0286,0.0142,0.0864,0.006,0.0097,0.9213,0.4951,40.5152,0.8018,0.0004,0.0013,4fb270d3-019c-459a-8428-f1865caca35a,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0232,0.048,0.0224,0.1247,0.0099,0.0148,0.9222,0.0512,144.462,0.9882,0.0024,0.0,b900f548-1dc9-44d3-8a1b-2e038106a538,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0477,0.0798,0.0425,0.2018,0.0211,0.0255,0.9437,0.5193,59.0589,0.7816,0.0003,0.0004,06bdc176-8ef7-4d61-82ba-28572224b5f4,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0232,0.048,0.0224,0.1247,0.0099,0.0148,0.9222,0.0512,144.462,0.9882,0.0024,0.0,cf942219-802a-453c-ab2a-a9e8c5208da1,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
0.0175,0.0396,0.0178,0.1042,0.0076,0.0124,0.9012,0.0232,180.2156,0.9952,0.0046,0.0,fdb28f61-bd09-4b7b-94f8-6b300905c26b,AMAZON_BOOKS_60CORE_KG_LINE_PARAMS_TUNING_1702943079
