recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0419,0.0714,0.037,0.1843,0.0178,0.0224,0.9251,0.447,90.0153,0.857,0.0004,0.0037,ba966990-0827-42c1-83d3-70f910061fd3,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0171,0.0366,0.0167,0.0978,0.0072,0.0114,0.9239,0.0126,270.6177,0.9972,0.0077,0.0,7c4dfb2f-9868-4811-8e2c-7fc2ac855e70,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0128,0.0294,0.0127,0.076,0.0053,0.0088,0.8988,0.0059,336.2621,0.9988,0.0141,0.0,62845f31-fada-443d-9aa4-161d3ec9b246,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0161,0.0338,0.0154,0.0903,0.0065,0.0105,0.9169,0.0087,291.4144,0.9979,0.0106,0.0,49b3a343-1df2-420b-8614-3b4b572ab3a2,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0423,0.0715,0.0373,0.1917,0.0174,0.0238,0.9513,0.2732,134.6023,0.9342,0.0006,0.0009,3334dfa4-8045-4c9c-aefe-ffb411d9a2b2,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0184,0.038,0.0176,0.102,0.0076,0.012,0.9267,0.013,264.135,0.997,0.0076,0.0,27ecb0b9-d802-4c82-8b5b-9f34fd968bef,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0157,0.0332,0.0151,0.0889,0.0064,0.0104,0.916,0.0085,292.1248,0.998,0.0108,0.0,66c5e78f-7e16-4c1c-8058-7a99b931a6d9,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0167,0.0354,0.0162,0.095,0.0069,0.0111,0.9214,0.0109,277.1007,0.9975,0.0088,0.0,6536c8ef-e368-4890-9dee-09e75afa95c5,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0088,0.023,0.0095,0.0608,0.0038,0.007,0.8611,0.0053,356.6518,0.9993,0.0133,0.0,923ba970-a020-41cf-a746-38509bee11dc,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
0.0139,0.0305,0.0135,0.0804,0.0055,0.0093,0.9015,0.0071,306.0568,0.9984,0.0124,0.0,cdb3eec3-7af6-4298-8d4a-03cb79ccb284,AMAZON_BOOKS_60CORE_KG_LIGHTGCN_PARAMS_TUNING_1703808757
