recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0259,0.0496,0.0239,0.1302,0.0107,0.0157,0.9246,0.0377,192.3632,0.9908,0.0032,0.0,6e014d16-e4aa-45e2-ac1c-9c433b72f1f3,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0533,0.0889,0.0472,0.2207,0.0232,0.0287,0.944,0.5025,81.5469,0.8073,0.0003,0.0058,7bcc5d94-a63a-4e31-8a30-75c71f44cce4,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0548,0.0891,0.0481,0.2235,0.0239,0.0289,0.9445,0.4979,79.6838,0.811,0.0003,0.0049,26bcc059-c9f3-48a2-9d42-5bc134f40408,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0043,0.0098,0.0043,0.0325,0.0016,0.0034,0.77,0.0023,304.5533,0.9997,0.025,0.0,7eef3064-2dba-4bd6-a005-18341329b941,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0591,0.1,0.0535,0.2443,0.0267,0.0325,0.9492,0.5817,74.8274,0.7528,0.0003,0.0056,bfda97e2-3fec-43c1-bd7b-6fb1a997a22c,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0521,0.0887,0.0466,0.2203,0.023,0.0279,0.9417,0.4761,78.8169,0.8246,0.0004,0.0034,87281968-5d43-4c9d-b3d0-ff31c07e5b5a,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0559,0.0925,0.0493,0.2315,0.0242,0.0301,0.9471,0.4741,87.094,0.8162,0.0004,0.0051,39fc8195-ed98-4c69-908f-36791fa24a5c,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0525,0.0902,0.0473,0.2217,0.0233,0.0289,0.9438,0.347,101.534,0.8799,0.0005,0.0029,aadba9b8-e9ef-47bb-b2d3-677a42b16ac5,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0156,0.0329,0.015,0.0869,0.0064,0.0103,0.8954,0.0131,248.6328,0.9973,0.0074,0.0,063be41e-5b7d-47bb-8fdf-fb906292fe10,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0528,0.0854,0.0459,0.2168,0.0228,0.0272,0.9404,0.54,70.0777,0.786,0.0003,0.005,73e2726c-112c-4cf9-b8f4-8dcf1de591d7,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0067,0.0172,0.0071,0.0478,0.0028,0.0054,0.8029,0.0072,409.2606,0.9995,0.009,0.0005,66e988c8-2ddc-4c7a-ae34-b58196fe6c27,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0551,0.0901,0.0479,0.2283,0.0232,0.0291,0.9437,0.5534,72.2021,0.7784,0.0003,0.0046,d4909feb-20d2-436c-812f-051395a5b8be,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0149,0.0334,0.0149,0.0871,0.0063,0.0103,0.8999,0.0121,249.4303,0.9971,0.0081,0.0,610a6cdc-48a4-4eca-aca6-86479fa55ea0,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0266,0.0514,0.0245,0.1334,0.0109,0.016,0.9253,0.0384,196.4213,0.9904,0.0031,0.0,aeeb09a9-48db-4df5-90bd-db51564b294f,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0358,0.0641,0.0324,0.166,0.0152,0.0205,0.9358,0.1006,144.4572,0.9725,0.0014,0.0002,bbe80259-59c4-438e-847d-9bbce389d111,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0571,0.0932,0.0503,0.2321,0.025,0.0304,0.9466,0.5625,80.4226,0.7683,0.0003,0.0036,972e33ec-f919-456d-9efc-6e0680f4e7a8,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0549,0.0905,0.0484,0.228,0.0237,0.0297,0.9457,0.3877,96.6448,0.8616,0.0004,0.0035,68532dd2-bd72-4e35-bfe6-90bef06918fe,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0591,0.1,0.0535,0.2443,0.0267,0.0325,0.9492,0.5817,74.8274,0.7528,0.0003,0.0056,746888d7-28c9-4ddf-8eb6-d3e11b53288a,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0149,0.0334,0.0149,0.0871,0.0063,0.0103,0.8999,0.0121,249.4303,0.9971,0.0081,0.0,f61af774-5d58-4eb4-b199-3a03d148b1a3,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0521,0.0887,0.0466,0.2203,0.023,0.0279,0.9417,0.4761,78.8169,0.8246,0.0004,0.0034,fa062814-82fb-47c6-87f7-d23a683e870f,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0112,0.0257,0.0113,0.0661,0.0048,0.0077,0.8694,0.0056,290.0191,0.9985,0.0153,0.0,ada2279e-8877-4de4-ad69-d3984f26c5f8,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0548,0.0918,0.0485,0.2272,0.0239,0.0291,0.9448,0.4769,79.9601,0.8236,0.0004,0.0033,18fad46a-d11a-4189-b7fd-38561ae0089b,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0617,0.1044,0.0557,0.2461,0.0284,0.0325,0.9477,0.6081,75.0405,0.741,0.0003,0.0046,b047d825-82e3-4495-8acd-80ad6b385ecc,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0591,0.1,0.0535,0.2443,0.0267,0.0325,0.9492,0.5817,74.8274,0.7528,0.0003,0.0056,d60e9e5a-8eec-411a-af7f-5c417b1cf042,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0525,0.0902,0.0473,0.2217,0.0233,0.0289,0.9438,0.347,101.534,0.8799,0.0005,0.0029,8192f9d6-8ed6-4257-b032-8f335c95efd4,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0551,0.0901,0.0479,0.2283,0.0232,0.0291,0.9437,0.5534,72.2021,0.7784,0.0003,0.0046,ecca8d69-53e2-4992-9dfa-b84a174f3127,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0502,0.0855,0.0451,0.2114,0.0222,0.0275,0.9438,0.3582,91.8367,0.8759,0.0005,0.004,b545122e-781e-4e3b-99cd-dba80cb91db9,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0617,0.1044,0.0557,0.2461,0.0284,0.0325,0.9477,0.6081,75.0405,0.741,0.0003,0.0046,c16345e6-dc4d-4b8b-a75d-aabb3be5265f,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0548,0.0891,0.0481,0.2235,0.0239,0.0289,0.9445,0.4979,79.6838,0.811,0.0003,0.0049,0e547556-58f1-4e9d-b587-4ef85bae0963,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0387,0.0708,0.0354,0.1784,0.0165,0.0224,0.9376,0.125,139.8642,0.9653,0.0011,0.0008,e717adf8-53c5-4470-8fda-e023f8f61e40,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0468,0.0846,0.0431,0.205,0.0211,0.0263,0.9418,0.2197,116.7032,0.9305,0.0007,0.0024,25b434dd-e70d-43f4-ab8b-75d60233c080,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
0.0521,0.0887,0.0466,0.2203,0.023,0.0279,0.9417,0.4761,78.8169,0.8246,0.0004,0.0034,d79a7742-04ac-452d-ae9b-6856070596a8,AMAZON_BOOKS_60CORE_KG_MULTIDAE_PARAMS_TUNING_1703328394
