recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0371,0.0677,0.0337,0.1799,0.0154,0.0218,0.9502,0.3212,121.2678,0.9169,0.0005,0.0009,1ec4a42c-af69-4efe-b320-d56c853ab8d6,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0395,0.0689,0.035,0.185,0.016,0.0224,0.9508,0.3116,120.8226,0.9213,0.0005,0.001,4aff8254-5c24-498d-b7f3-b40ef57e27b4,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0206,0.0399,0.0188,0.1113,0.0081,0.0126,0.9064,0.4841,85.7341,0.8371,0.0003,0.0016,b7348309-3f8a-46d3-93d9-20b811d9363a,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0179,0.0347,0.0164,0.0995,0.007,0.0111,0.9236,0.2986,108.7379,0.9248,0.0005,0.0008,09910c56-5e94-42f4-987d-4a068b764df1,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.019,0.0391,0.0181,0.1076,0.0078,0.0122,0.9187,0.4261,83.977,0.8609,0.0004,0.0007,c330c0ff-bf7c-48eb-a9b5-afea9bf0ca6c,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.02,0.0398,0.0188,0.1132,0.008,0.013,0.9062,0.4854,82.9335,0.8296,0.0004,0.0022,ae99259f-f502-4182-9217-86039ae3258d,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0208,0.042,0.0195,0.1159,0.0082,0.0133,0.8927,0.4483,92.8223,0.8518,0.0004,0.0005,69edc0ae-4eab-4d5c-95a1-af2248868059,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0204,0.0394,0.0185,0.1114,0.0077,0.0127,0.9067,0.4883,85.0367,0.8325,0.0003,0.0013,49352db7-7ad7-40f7-b15a-9c4653e53a30,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0311,0.056,0.0277,0.1509,0.0124,0.0178,0.9484,0.3048,175.162,0.9538,0.0005,0.0055,63342f03-8e0e-4c77-bdaf-7c8a75bbd5a8,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0171,0.0319,0.0151,0.094,0.0062,0.0104,0.9122,0.3551,98.2033,0.9014,0.0004,0.001,df3b7e6e-4da0-4b7d-93f0-213a02bbab93,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0197,0.0386,0.0182,0.1117,0.0076,0.0126,0.9059,0.4585,85.0451,0.8445,0.0004,0.0006,49507f45-6e2b-4eca-a830-fc7e3fa7fa18,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0261,0.0508,0.0244,0.1368,0.0107,0.0163,0.9435,0.5807,82.6033,0.7784,0.0003,0.0057,948207ba-9e2a-4fd1-b475-2b20bffe51ce,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0186,0.0374,0.0174,0.1045,0.0075,0.0117,0.9265,0.2744,115.4698,0.9375,0.0005,0.0014,cf98f371-71c6-4e76-b871-8b70150412a4,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0213,0.0432,0.0199,0.1175,0.0083,0.0135,0.9363,0.2455,197.1495,0.9704,0.0005,0.0064,ff844628-b77e-4b8a-80de-097bf1dc5050,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0205,0.0409,0.0192,0.1109,0.0085,0.0126,0.8928,0.4439,92.8448,0.8531,0.0004,0.0003,71576bed-037b-4cc8-b7fc-c9b94313fb00,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.036,0.065,0.0325,0.1754,0.0148,0.0211,0.9503,0.2894,127.82,0.9294,0.0005,0.0007,58b4d439-c894-4521-9c6a-9757284ec173,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0357,0.066,0.0327,0.1752,0.0148,0.0212,0.949,0.3401,122.4384,0.9096,0.0005,0.0008,f7a54ab2-b7b0-4461-9ee9-1a6e328896bb,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0202,0.0425,0.0195,0.1145,0.0084,0.0132,0.8916,0.4479,94.9284,0.8522,0.0004,0.0004,bdbe52db-40b6-42ed-950b-79d28ce7bb52,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0403,0.0711,0.036,0.1856,0.0167,0.0228,0.949,0.3653,107.6961,0.8974,0.0004,0.001,57244623-5712-4380-a833-187d17a24518,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0166,0.0347,0.0157,0.0955,0.0066,0.0107,0.9232,0.2326,118.9296,0.9518,0.0006,0.0022,6f072621-4f50-4fcc-a956-bf311bf2966e,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0156,0.0301,0.0141,0.0849,0.006,0.0094,0.9026,0.3827,97.742,0.8955,0.0004,0.0012,264ede2c-b42f-4f58-b31f-b71012146b97,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0398,0.0709,0.0358,0.1877,0.0165,0.0229,0.9508,0.3234,121.5725,0.9179,0.0005,0.001,db06ce59-011e-4a3e-920c-ed55847dfb40,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0272,0.0525,0.0253,0.1402,0.0112,0.0168,0.9444,0.5437,86.795,0.8013,0.0003,0.0054,cf50767d-ecba-4d24-a3f9-adcd2b10384d,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0171,0.0382,0.0172,0.1031,0.0072,0.0121,0.9344,0.5158,112.2885,0.8456,0.0003,0.0068,cadc55bc-16ff-4d2a-b9ab-c36b70c4f1dc,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.018,0.0378,0.0174,0.1042,0.0072,0.0122,0.9343,0.5299,111.0874,0.8401,0.0003,0.0065,5d01328d-20b7-4bfd-9136-17d12e6d6e43,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.02,0.04,0.0187,0.1106,0.0079,0.0127,0.9056,0.4628,86.4751,0.8428,0.0004,0.0005,c77041bb-6ff4-4d51-838b-2fa615b51870,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0374,0.0678,0.034,0.1781,0.0157,0.0217,0.9508,0.2578,144.5693,0.9446,0.0006,0.0012,c2a168ac-21e6-4180-8e92-c9b2a3fb8d09,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0243,0.0481,0.0229,0.1302,0.01,0.0155,0.9416,0.5695,82.2784,0.7842,0.0003,0.0052,04581d7b-f8b9-4efd-bd33-2bca7958633d,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.018,0.0392,0.0177,0.1057,0.0075,0.0123,0.9317,0.4398,165.9131,0.9114,0.0003,0.0084,163c8615-2946-457f-b6ca-86d5e8588746,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
0.0197,0.0405,0.0187,0.1117,0.0079,0.0128,0.9207,0.4404,79.2244,0.8525,0.0004,0.001,ce9b1fee-3376-42cf-a875-7a7d138ae6e8,AMAZON_BOOKS_60CORE_KG_NGCF_PARAMS_TUNING_1713418875
