recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0038,0.0106,0.0042,0.0285,0.0016,0.003,0.7492,0.0004,507.5871,0.9998,0.1196,0.0,4a456d55-f6aa-4ad8-9ebd-b3c44882c1b4,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0204,0.0413,0.0192,0.1145,0.008,0.0133,0.9048,0.4679,89.3805,0.8406,0.0004,0.0002,1d98096d-2f6f-4bba-98fd-d70fd9ce8edb,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0191,0.039,0.0181,0.106,0.0077,0.0122,0.8921,0.4298,94.7666,0.864,0.0004,0.0001,13f3f046-02d8-418a-a50e-73a21574c030,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0194,0.0395,0.0182,0.109,0.0077,0.0125,0.9171,0.4271,81.9269,0.8605,0.0004,0.0003,a36111c3-2c02-41fa-a858-65190b989dc2,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0243,0.0493,0.0232,0.1356,0.0099,0.0159,0.9344,0.4815,98.9865,0.8415,0.0003,0.0006,507a0421-de5c-4c6f-8b87-86f52c9448b3,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0127,0.0272,0.0123,0.0758,0.0051,0.0085,0.9033,0.3133,95.0475,0.9202,0.0005,0.0002,aedaa56a-793e-4be4-b412-0a6da37b8a54,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0275,0.052,0.0252,0.1428,0.011,0.0168,0.9388,0.4408,92.3702,0.8557,0.0004,0.0004,67eb6f66-820b-4caf-9ddc-7edb4532f6a2,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0041,0.0113,0.0045,0.0299,0.0018,0.0032,0.7535,0.0004,533.5769,0.9998,0.1141,0.0,dff24409-8551-4c8c-99b7-2ebf6150510b,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0041,0.0112,0.0045,0.0301,0.0018,0.0032,0.7694,0.001,471.3042,0.9998,0.0455,0.0,6284c4ae-9f44-4cbd-af53-bb8a7cfbf747,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0038,0.0106,0.0042,0.029,0.0016,0.003,0.7504,0.0003,522.5594,0.9998,0.1329,0.0,2ec79240-dbfc-4909-9677-21cf9fec040f,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.004,0.0114,0.0045,0.0297,0.0018,0.0032,0.7533,0.0004,532.6162,0.9998,0.1198,0.0,cc1575fd-2816-4f69-901a-09b2ff389fa7,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0193,0.0408,0.0187,0.1141,0.0078,0.0132,0.933,0.4231,101.506,0.8706,0.0004,0.0007,63e1495d-520a-4c01-b1d2-47c0599393ec,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0069,0.017,0.0072,0.0489,0.0028,0.0055,0.8455,0.0081,334.1397,0.9988,0.01,0.0,392e5708-fe81-4ad5-b8d7-5c80b48377a9,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0229,0.0458,0.0218,0.1278,0.0093,0.0152,0.9383,0.348,104.9233,0.9004,0.0005,0.0002,eb632c84-f68d-4d22-9ca1-533a8dc07ada,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.004,0.0114,0.0045,0.0297,0.0018,0.0032,0.7533,0.0004,532.6125,0.9998,0.1198,0.0,50bbc0bf-da19-4e74-8cbc-087f67ecedc7,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0236,0.0463,0.022,0.1313,0.0092,0.0154,0.9373,0.4296,99.9145,0.8656,0.0004,0.0005,267e3e75-27af-4100-9910-5ea61b653971,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0195,0.0396,0.0185,0.1096,0.0079,0.0127,0.9044,0.4728,83.0704,0.8394,0.0004,0.0003,ea9db0df-c8f4-473e-8c48-be27c9cf1ad0,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0135,0.0279,0.0127,0.0811,0.0051,0.009,0.9155,0.2557,113.9755,0.9443,0.0006,0.0006,bbb84bd3-606d-475c-8243-cbeab75ea292,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.004,0.0114,0.0045,0.0297,0.0018,0.0032,0.7533,0.0004,532.6125,0.9998,0.1198,0.0,90477244-0a7c-41a0-a9f6-a471e0262c22,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0041,0.0113,0.0045,0.0299,0.0018,0.0032,0.7535,0.0004,533.5769,0.9998,0.1141,0.0,d64bc8ac-c7e4-43e8-88bd-a25069a79634,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0041,0.0112,0.0045,0.0301,0.0018,0.0032,0.7693,0.001,471.3494,0.9998,0.0455,0.0,882850a7-dbc6-4e1f-bec8-b711e50b3eac,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0128,0.0257,0.012,0.0765,0.0049,0.0085,0.9032,0.2826,97.932,0.9327,0.0005,0.0002,f0ba0736-0366-4f2a-ae76-7f8e864041c5,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0176,0.0369,0.0169,0.1077,0.0068,0.0123,0.9313,0.2435,129.4819,0.9433,0.0006,0.0001,e8ef3803-29ea-442a-b6e7-4ac32624a4c0,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0192,0.0383,0.018,0.1059,0.0077,0.0122,0.9044,0.4266,82.4776,0.8614,0.0004,0.0001,5259b143-f1f2-42bb-8298-42c9c9862367,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0248,0.047,0.0228,0.131,0.01,0.0154,0.9358,0.3969,97.4736,0.8823,0.0004,0.0002,86fdcc7b-6214-47aa-bf25-dc2452529f0b,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0204,0.0412,0.0192,0.1138,0.0081,0.0131,0.891,0.4417,97.1386,0.8573,0.0004,0.0001,bf6ccb08-b342-4d2e-96bb-8d4bc4ed124c,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
0.0041,0.0116,0.0045,0.0301,0.0018,0.0032,0.7533,0.0004,532.967,0.9998,0.1207,0.0,3f95f1d1-de37-4438-9ea3-933362e9d9da,AMAZON_BOOKS_60CORE_KG_SPECTRALCF_PARAMS_TUNING_1705401912
