recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6681,0.6726,0.5859,0.9002,0.482,0.2066,0.9914,0.2605,4767.7392,0.9646,0.0046,0.0,d5301003-6ab4-4b7b-b070-d55b742b9ef9,MIND_BPR_PARAMS_TUNING_1704295805
0.393,0.4022,0.3115,0.6581,0.2264,0.1054,0.9661,0.0326,8756.2831,0.9952,0.0228,0.0001,ba89a124-4ce7-47d0-94aa-5a05ff0f8971,MIND_BPR_PARAMS_TUNING_1704295805
0.678,0.6784,0.5956,0.9046,0.4927,0.2109,0.9916,0.2861,4846.0693,0.9631,0.0042,0.0,b70a2db5-15db-4c06-8909-0a538f399a7c,MIND_BPR_PARAMS_TUNING_1704295805
0.5784,0.5977,0.4937,0.8427,0.388,0.1716,0.984,0.0938,5886.4753,0.9827,0.0112,0.0,4a1c14d3-ad0c-410a-a740-7491a66ec66d,MIND_BPR_PARAMS_TUNING_1704295805
0.393,0.4022,0.3115,0.6581,0.2264,0.1054,0.9661,0.0326,8756.2831,0.9952,0.0228,0.0001,b352d980-ef4f-4858-a778-8ab67ba762bc,MIND_BPR_PARAMS_TUNING_1704295805
0.5409,0.5131,0.4339,0.8188,0.3279,0.1543,0.9816,0.3939,4668.069,0.953,0.0032,0.0,23612a40-c245-4f9c-95d9-805765e64181,MIND_BPR_PARAMS_TUNING_1704295805
0.557,0.5298,0.4487,0.8285,0.3405,0.1615,0.9843,0.3373,4787.2864,0.9616,0.0036,0.0,6e765746-0704-471e-b210-01859165b66d,MIND_BPR_PARAMS_TUNING_1704295805
0.5409,0.5131,0.4339,0.8188,0.3279,0.1543,0.9816,0.3939,4668.069,0.953,0.0032,0.0,57d9bec8-2f5f-46f3-bb30-ad69492ad58f,MIND_BPR_PARAMS_TUNING_1704295805
0.6485,0.6533,0.5627,0.8883,0.4567,0.2002,0.9904,0.2029,5087.9724,0.9697,0.0057,0.0,ed9471a2-bc9e-4c08-b956-7b5deea7c674,MIND_BPR_PARAMS_TUNING_1704295805
0.557,0.5298,0.4487,0.8285,0.3405,0.1615,0.9843,0.3373,4787.2864,0.9616,0.0036,0.0,fb3233a0-f2bf-4f9f-bab6-0b3c3b4c230c,MIND_BPR_PARAMS_TUNING_1704295805
0.3979,0.3803,0.2988,0.6598,0.2095,0.1049,0.966,0.0274,8812.1108,0.9952,0.0271,0.0001,e05bb9b2-e1b9-42ca-ba21-e6a5e08ed3ff,MIND_BPR_PARAMS_TUNING_1704295805
