recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6735,0.6943,0.6042,0.8991,0.5064,0.2066,0.9757,0.1243,5114.8441,0.9713,0.0093,0.0,8537bd4d-ab72-4c51-ad82-d084b865399f,MIND_DMF_PARAMS_TUNING_1704640805
0.4579,0.4853,0.3851,0.7251,0.2942,0.1287,0.951,0.0283,6506.9271,0.9899,0.0325,0.0,d7af539d-1478-4e55-946b-8468e1a0435b,MIND_DMF_PARAMS_TUNING_1704640805
0.6669,0.6677,0.5821,0.9,0.4786,0.1992,0.9743,0.1243,5142.3644,0.9728,0.0092,0.0,a3e778a7-a8af-4980-866c-c46b5fa71668,MIND_DMF_PARAMS_TUNING_1704640805
0.6669,0.6677,0.5821,0.9,0.4786,0.1992,0.9743,0.1243,5142.3644,0.9728,0.0092,0.0,d22ac3fe-3f84-4cb5-9e61-9232df932288,MIND_DMF_PARAMS_TUNING_1704640805
0.6775,0.68,0.5979,0.9073,0.4962,0.2036,0.9734,0.1266,4927.6184,0.9715,0.0092,0.0,9d82aa20-9398-45e8-a4e7-71cf117f7b8c,MIND_DMF_PARAMS_TUNING_1704640805
0.6608,0.6709,0.5808,0.8949,0.479,0.1991,0.9759,0.1176,5239.5035,0.9736,0.0097,0.0,d2f07db1-4917-45e9-9415-c8c651475312,MIND_DMF_PARAMS_TUNING_1704640805
0.4579,0.4853,0.3851,0.7251,0.2942,0.1287,0.951,0.0283,6506.9271,0.9899,0.0325,0.0,6af5a695-877f-4bbf-a513-48adbcd901c2,MIND_DMF_PARAMS_TUNING_1704640805
0.5668,0.6132,0.5,0.8241,0.4008,0.1683,0.9726,0.0652,5959.0837,0.9837,0.0158,0.0,a4c2bce1-7029-4f25-acdb-1b269b8afb65,MIND_DMF_PARAMS_TUNING_1704640805
0.6775,0.68,0.5979,0.9073,0.4962,0.2036,0.9734,0.1266,4927.6184,0.9715,0.0092,0.0,c141b947-a81a-4816-a639-739a84f8e707,MIND_DMF_PARAMS_TUNING_1704640805
0.4579,0.4853,0.3851,0.7251,0.2942,0.1287,0.951,0.0283,6506.9271,0.9899,0.0325,0.0,2fbc740e-c87f-468d-bb5c-b6ecaab2f503,MIND_DMF_PARAMS_TUNING_1704640805
0.6775,0.68,0.5979,0.9073,0.4962,0.2036,0.9734,0.1266,4927.6184,0.9715,0.0092,0.0,b6d1d3e9-f00e-4797-b803-283412300061,MIND_DMF_PARAMS_TUNING_1704640805
0.6735,0.6943,0.6042,0.8991,0.5064,0.2066,0.9757,0.1243,5114.849,0.9713,0.0093,0.0,79e0bcba-e3ea-4d7c-89ab-ff23947a9064,MIND_DMF_PARAMS_TUNING_1704640805
0.6775,0.68,0.5979,0.9073,0.4962,0.2036,0.9734,0.1266,4927.6184,0.9715,0.0092,0.0,7ac25dfa-90aa-4940-b270-49a84b57080a,MIND_DMF_PARAMS_TUNING_1704640805
