recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6353,0.6438,0.5494,0.8836,0.4433,0.1909,0.9848,0.145,5157.1086,0.9782,0.0076,0.0,c3176d35-6dda-4fbf-a8b0-02ae11a8617d,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6479,0.6673,0.5633,0.8972,0.453,0.196,0.97,0.234,4837.887,0.9741,0.0048,0.0009,ad4c7606-5400-4e92-bd85-be19e447f7fc,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.638,0.6481,0.554,0.8839,0.4484,0.1938,0.9852,0.1563,4992.3341,0.9758,0.0072,0.0,89159d10-8ec4-4019-9117-29a5900f79f2,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6367,0.6466,0.5522,0.8834,0.4464,0.1926,0.985,0.1513,5054.3847,0.9767,0.0074,0.0,1dd3cc0d-ced9-4339-bc97-b13c75be418a,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6368,0.6466,0.5522,0.8836,0.4464,0.1927,0.9851,0.1533,5052.8871,0.9767,0.0073,0.0,d73e66f5-6598-4e45-9bcf-2212215ff628,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.635,0.6431,0.549,0.8833,0.4427,0.1908,0.9847,0.1454,5178.0716,0.9785,0.0075,0.0,f688969c-0f51-462a-9dfc-ed156b9288bb,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6349,0.6431,0.549,0.8832,0.4428,0.1908,0.9846,0.1436,5180.1498,0.9785,0.0076,0.0,5cb1d83f-5fb6-4f0a-8b16-de66e3442b21,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6469,0.6625,0.5645,0.887,0.4577,0.201,0.9848,0.1805,4807.0703,0.9743,0.0063,0.0001,78c60555-0ff2-447d-9aef-89a4fe672d40,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6481,0.6671,0.5633,0.8971,0.453,0.1962,0.9696,0.2501,4841.7766,0.9739,0.0045,0.001,d47dba61-24bb-432f-ad9d-0c2873aa36bf,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6355,0.6448,0.5505,0.883,0.4447,0.1916,0.985,0.149,5104.7412,0.9774,0.0074,0.0,4f5e0da3-8163-449d-8913-70ea82870f75,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6468,0.6624,0.5645,0.8868,0.4577,0.201,0.9849,0.1751,4807.1779,0.9743,0.0065,0.0,db0c1e14-0cc0-48ce-b64b-710c75d878ee,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6367,0.6466,0.5522,0.8834,0.4464,0.1926,0.985,0.1513,5054.3847,0.9767,0.0074,0.0,4ad9df5c-1ca5-46cd-b18a-b6020bae37fb,MIND_ITEMKNN_PARAMS_TUNING_1706529310
0.6355,0.6448,0.5505,0.883,0.4447,0.1916,0.985,0.149,5104.7412,0.9774,0.0074,0.0,2d39813f-9118-4b27-84f7-3b3c5194c28d,MIND_ITEMKNN_PARAMS_TUNING_1706529310
