recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.3246,0.4161,0.2977,0.6022,0.2183,0.1215,0.9125,0.0945,2959.4977,0.972,0.0122,0.0663,df81f8c8-b3b0-4ebf-8f51-57ec39cd2214,MIND_LINE_PARAMS_TUNING_1704439807
0.4517,0.4942,0.3988,0.7258,0.3118,0.1417,0.9635,0.4039,1848.4319,0.9003,0.0036,0.0226,6136582f-b55e-4112-a6f5-b5f64bc4142e,MIND_LINE_PARAMS_TUNING_1704439807
0.4933,0.5485,0.4442,0.7583,0.3538,0.1584,0.9723,0.337,2037.6722,0.9128,0.0042,0.0066,e8b3670b-93dc-4fd9-a917-2c143930bc28,MIND_LINE_PARAMS_TUNING_1704439807
0.5289,0.5945,0.4842,0.7894,0.3932,0.1665,0.9668,0.1683,2485.9034,0.9477,0.0077,0.0097,880fd45b-d690-4957-b7c7-457582c2eddd,MIND_LINE_PARAMS_TUNING_1704439807
0.4275,0.5174,0.3953,0.6994,0.3093,0.1437,0.942,0.0861,3364.8535,0.9739,0.0133,0.0556,06973e39-17ce-426d-a732-af4d0ffb92a6,MIND_LINE_PARAMS_TUNING_1704439807
0.4365,0.4794,0.3841,0.7113,0.2973,0.14,0.9604,0.4002,1681.1581,0.8971,0.0036,0.013,b9d2c5ce-b943-42ed-8030-eb0f40e55ff5,MIND_LINE_PARAMS_TUNING_1704439807
0.4795,0.5362,0.4324,0.7464,0.3423,0.1575,0.9692,0.3316,1949.0736,0.9095,0.0043,0.0043,b7f5e330-c602-4e9b-a029-17370e7d4574,MIND_LINE_PARAMS_TUNING_1704439807
0.5265,0.5864,0.4784,0.7875,0.3868,0.1659,0.969,0.1699,2477.4867,0.9458,0.0077,0.0278,424d5bbe-5b5a-4874-bc49-e71d27650dc1,MIND_LINE_PARAMS_TUNING_1704439807
0.5276,0.5906,0.4823,0.7865,0.3913,0.1673,0.9671,0.1753,2472.6745,0.9474,0.0074,0.0378,d4e660d9-a22a-4a17-9b23-e0f53d2d8826,MIND_LINE_PARAMS_TUNING_1704439807
0.5297,0.593,0.4836,0.7913,0.3922,0.1664,0.9683,0.1728,2479.8746,0.9463,0.0076,0.0392,2401e0b2-f8d3-4a16-89fb-49bbac644d56,MIND_LINE_PARAMS_TUNING_1704439807
0.4643,0.5105,0.4105,0.7342,0.3208,0.148,0.9652,0.3191,1885.2622,0.9185,0.0044,0.0224,1f1eea88-b710-41c9-93c5-fd3e9d6a130f,MIND_LINE_PARAMS_TUNING_1704439807
0.4375,0.5332,0.4107,0.7039,0.3245,0.1529,0.9374,0.1085,2800.1329,0.9674,0.011,0.0695,f14c554d-9911-4310-ae00-c1969b771b72,MIND_LINE_PARAMS_TUNING_1704439807
0.4772,0.5592,0.4437,0.7419,0.3556,0.1602,0.9555,0.1678,2202.0448,0.9477,0.0077,0.0579,f41e5dbb-f5a0-4235-88e0-05f8b96db128,MIND_LINE_PARAMS_TUNING_1704439807
0.5174,0.5818,0.4723,0.7795,0.3813,0.1651,0.9674,0.1792,2357.8427,0.9437,0.0073,0.0327,2dbd31b7-b3ad-4a84-90bd-7fcf1a24bfe4,MIND_LINE_PARAMS_TUNING_1704439807
0.5068,0.556,0.4538,0.7719,0.3621,0.1603,0.9746,0.3289,2142.6699,0.9156,0.0043,0.0098,5da950ff-7891-4783-8c48-aaf263f11ac1,MIND_LINE_PARAMS_TUNING_1704439807
0.4395,0.5292,0.4105,0.7063,0.3239,0.1538,0.9437,0.1325,2518.9735,0.9612,0.0093,0.1073,1c407616-b6a2-4571-b4ba-486040af799e,MIND_LINE_PARAMS_TUNING_1704439807
0.4365,0.4794,0.3841,0.7113,0.2973,0.14,0.9604,0.4002,1681.1581,0.8971,0.0036,0.013,a5f5a331-958b-47bd-9a9f-d019cc65a190,MIND_LINE_PARAMS_TUNING_1704439807
0.3001,0.3912,0.2763,0.5775,0.1995,0.1171,0.9048,0.1051,2774.878,0.9701,0.0111,0.0515,8ddc929e-218b-45f4-b4a4-a2fba21df8bf,MIND_LINE_PARAMS_TUNING_1704439807
0.5265,0.5864,0.4784,0.7875,0.3868,0.1659,0.969,0.1699,2477.4867,0.9458,0.0077,0.0278,c0ac6094-d53b-4c5b-b27b-71706d9014ba,MIND_LINE_PARAMS_TUNING_1704439807
0.4945,0.5685,0.4557,0.7606,0.3662,0.1623,0.9627,0.1866,2167.5258,0.9438,0.0071,0.0241,0fecdda1-458e-41f1-a0b0-5244017a121a,MIND_LINE_PARAMS_TUNING_1704439807
0.2762,0.3658,0.254,0.5541,0.1808,0.1075,0.9037,0.1037,2956.1589,0.9746,0.0109,0.0466,2e991c6c-bc6d-4148-9c2e-c5f3eaa76d41,MIND_LINE_PARAMS_TUNING_1704439807
0.4365,0.4794,0.3841,0.7113,0.2973,0.14,0.9604,0.4002,1681.1581,0.8971,0.0036,0.013,7fde4163-729e-4124-8ecc-d24af4e493d5,MIND_LINE_PARAMS_TUNING_1704439807
0.4945,0.5685,0.4557,0.7606,0.3662,0.1623,0.9627,0.1866,2167.5258,0.9438,0.0071,0.0241,807a96b5-acfd-47ca-9c19-a492cd577a96,MIND_LINE_PARAMS_TUNING_1704439807
0.4852,0.5286,0.4289,0.756,0.3381,0.1505,0.9691,0.3164,2070.322,0.9211,0.0044,0.0206,e16ac612-2edd-4655-bbde-bae06d88d6d9,MIND_LINE_PARAMS_TUNING_1704439807
0.4365,0.4794,0.3841,0.7113,0.2973,0.14,0.9604,0.4002,1681.1581,0.8971,0.0036,0.013,f69d0a00-4973-4745-a9e7-e9cac02934a1,MIND_LINE_PARAMS_TUNING_1704439807
0.5276,0.5906,0.4823,0.7865,0.3913,0.1673,0.9671,0.1753,2472.6745,0.9474,0.0074,0.0378,22bddc57-60ff-41b7-bc7e-4ff0e55281bb,MIND_LINE_PARAMS_TUNING_1704439807
0.4872,0.5615,0.4465,0.7501,0.3569,0.1585,0.9545,0.1173,3011.7123,0.9644,0.0103,0.052,2293bcd9-f982-4708-be89-77a802a828a5,MIND_LINE_PARAMS_TUNING_1704439807
0.4795,0.5362,0.4324,0.7464,0.3423,0.1575,0.9692,0.3316,1949.0736,0.9095,0.0043,0.0043,6ea3b8a0-ddb8-4817-850d-cf776a97d6c0,MIND_LINE_PARAMS_TUNING_1704439807
0.2851,0.3679,0.2597,0.561,0.1864,0.1076,0.9081,0.3336,3152.2279,0.9687,0.0035,0.0566,4482d491-7e0c-4331-aa1c-e8f771efc99c,MIND_LINE_PARAMS_TUNING_1704439807
0.4583,0.5553,0.4333,0.7213,0.3471,0.1593,0.9446,0.1361,2458.2268,0.9582,0.0092,0.0518,7693653e-e30c-4df6-b41e-04b644d89b2b,MIND_LINE_PARAMS_TUNING_1704439807
0.4795,0.5362,0.4324,0.7464,0.3423,0.1575,0.9692,0.3316,1949.0736,0.9095,0.0043,0.0043,daaf48e9-ea65-40d5-8b42-be92001c7ed2,MIND_LINE_PARAMS_TUNING_1704439807
