recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.598,0.629,0.5223,0.8647,0.421,0.1658,0.9805,0.06,5598.3827,0.9837,0.0172,0.0,a0e24b44-1070-44b3-b7d5-0d3be800f601,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3585,0.3252,0.2581,0.6175,0.1753,0.0952,0.9653,0.0172,8939.8483,0.9956,0.0422,0.0,69a52313-919b-423a-991a-9a7f9e4e0b4c,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.4137,0.3849,0.3094,0.6771,0.2185,0.1081,0.9684,0.0224,8777.3529,0.9951,0.0335,0.0002,7cd7d673-538d-4ef1-a18a-d1728e66bbb7,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3521,0.3098,0.2541,0.6086,0.1744,0.0926,0.9648,0.0195,8885.878,0.9956,0.0371,0.0005,9c730259-b011-4380-afa4-8c29bd22e55f,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6731,0.7067,0.6107,0.9082,0.5124,0.2033,0.989,0.2401,4488.1183,0.964,0.005,0.0,f8e86958-64fc-41e0-bdf8-b1140c1b0075,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3465,0.3229,0.2519,0.6067,0.17,0.0937,0.9653,0.0224,8948.9817,0.9956,0.0324,0.0004,56b3330f-65da-4824-a181-c3b08143503a,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6061,0.6437,0.5352,0.8703,0.4349,0.1695,0.9814,0.0686,5604.4547,0.9826,0.0153,0.0,f6b64931-66a0-4b90-8ab0-419ca540cf36,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6561,0.6758,0.5839,0.8939,0.4832,0.1994,0.9896,0.3019,4439.7878,0.9589,0.0041,0.0001,8c6a3f06-3145-413d-8583-d1c2ce586c5c,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.5549,0.5819,0.4776,0.8218,0.3813,0.1462,0.9779,0.0478,6190.2276,0.9878,0.0202,0.0001,43a0ba03-a716-416a-82fc-6e53202a06dc,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.644,0.6804,0.5769,0.8942,0.4763,0.1901,0.9864,0.1237,4855.9585,0.9747,0.0092,0.0,f9f99338-5ac8-4dd7-898d-c8ae6e5241df,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3515,0.3118,0.2552,0.6092,0.1756,0.093,0.9651,0.0195,8921.5696,0.9956,0.0372,0.0003,11baed6b-3c5e-4a43-b29d-a613dfbbac59,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3569,0.3158,0.2588,0.6133,0.1786,0.0932,0.9651,0.031,8884.3161,0.9956,0.0234,0.0007,345208be-5c94-409e-b713-918f47b67a83,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3521,0.3098,0.2541,0.6086,0.1744,0.0926,0.9648,0.0193,8885.878,0.9956,0.0376,0.0005,d83d6b20-93e7-4c44-9f1f-a627c6737e35,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3529,0.3243,0.2556,0.6127,0.1738,0.0939,0.9652,0.0186,8946.0537,0.9956,0.039,0.0003,71f3b48e-a009-42d4-a9ff-89ad0e49b0a1,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6543,0.6871,0.5864,0.9016,0.4859,0.1927,0.9875,0.1821,4754.8004,0.9694,0.0065,0.0002,e1966afe-71c9-4ca5-ae80-e1f6ac8ac21f,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.5714,0.6058,0.4982,0.8372,0.4018,0.1509,0.978,0.0489,6069.115,0.987,0.02,0.0,e76944f9-b858-4e3e-af17-7ba495c2f45f,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.5144,0.5433,0.4402,0.776,0.3479,0.1362,0.9759,0.0333,6404.286,0.9893,0.0279,0.0001,29e57e86-a1b0-4886-b52b-08f97b32ed37,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.5098,0.5423,0.4381,0.7726,0.3459,0.1365,0.9755,0.0331,6331.1005,0.9891,0.0282,0.0002,b12312dd-e94b-4b74-93a2-2de8775439c6,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6451,0.6794,0.5777,0.8944,0.477,0.1911,0.9863,0.1359,4784.5658,0.974,0.0084,0.0,81729d72-5241-4162-b241-7597b5cc2b1b,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6065,0.633,0.5358,0.8599,0.4362,0.1805,0.9834,0.2806,4572.3018,0.9643,0.0043,0.0009,902ab043-c597-48d6-a394-96e9aa9464fe,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3545,0.3081,0.2546,0.6074,0.1749,0.0925,0.9642,0.0265,8852.8428,0.9956,0.0274,0.0016,6995b159-0859-479a-872c-c7058277cc55,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.3529,0.3243,0.2556,0.6127,0.1738,0.0939,0.9652,0.0186,8945.9341,0.9956,0.039,0.0003,60241827-6b47-4152-8da4-35e38641bb84,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6065,0.633,0.5358,0.8599,0.4362,0.1805,0.9834,0.2806,4572.3018,0.9643,0.0043,0.0009,d1b8c8f9-1edc-4810-84c4-dbf77c25a64e,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6801,0.7127,0.6157,0.9154,0.5161,0.206,0.9892,0.1907,4527.5922,0.9672,0.0063,0.0,644a7f31-f8c8-47a4-b1f0-3bc771cbd249,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6463,0.6862,0.5822,0.8984,0.4827,0.1897,0.9871,0.1619,4825.9492,0.9709,0.0072,0.0018,5e8c78e2-5a25-460b-a207-0917e3543f93,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.617,0.6474,0.5477,0.875,0.4477,0.1807,0.9854,0.2068,4764.5843,0.9705,0.0056,0.0009,4435980c-dcfa-4adc-a585-3c6e816a3dca,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.6962,0.7148,0.6259,0.921,0.5261,0.2136,0.9907,0.2942,4204.7759,0.9589,0.0042,0.0,f80947d6-44af-4496-b205-730626829dfa,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.4116,0.3828,0.3078,0.6748,0.2174,0.1076,0.9683,0.022,8790.7914,0.9951,0.0341,0.0002,4f0dd673-4ec8-4fa9-80ef-151dc7237f39,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
0.5883,0.619,0.5109,0.8551,0.4092,0.1641,0.9803,0.0623,5882.5528,0.984,0.0166,0.0001,01b4ffe4-1811-42a5-8a60-a3d03910605b,MIND_LIGHTGCN_PARAMS_TUNING_1703807105
