recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6722,0.7126,0.6168,0.9051,0.5242,0.1979,0.9849,0.1133,5239.0916,0.9739,0.0101,0.0,9913e81f-d056-4886-99f6-0ca12e84130c,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.3438,0.3202,0.2465,0.5999,0.1638,0.0931,0.9653,0.0251,8961.537,0.9955,0.029,0.0001,5ee2a771-6122-4cf5-801b-1b25ec2a33bc,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.3392,0.3227,0.2452,0.5972,0.1626,0.093,0.9647,0.0183,8968.967,0.9955,0.0397,0.0,5081e2dd-4c18-4cc1-ab17-e47170de005a,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.3392,0.3214,0.2447,0.597,0.1623,0.0929,0.9646,0.0168,8966.2971,0.9955,0.0435,0.0,afdaae33-2cdc-4202-a985-1ec447c11c50,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.7371,0.7548,0.6809,0.9413,0.5916,0.2246,0.9903,0.2897,4720.6985,0.9599,0.0042,0.0,8e5688d8-2b79-4232-848e-5df808d3db89,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.7343,0.7532,0.6777,0.9408,0.5878,0.2238,0.9902,0.2625,4640.2181,0.9598,0.0047,0.0,d277af12-dd03-4cdb-9309-65b4e8d724fc,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.1152,0.1198,0.0784,0.3116,0.0397,0.0415,0.9496,0.0102,4848.3187,0.9969,0.0635,0.0,0e41b690-d735-4e08-bf98-3fdb3cbf1b28,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.7251,0.7467,0.6678,0.9352,0.5766,0.2201,0.9891,0.2319,4767.9725,0.9643,0.0052,0.0,50027797-6dec-4a01-8c48-c6be643c60a2,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.34,0.3197,0.2453,0.5964,0.1633,0.0927,0.9652,0.0238,8958.7886,0.9955,0.0307,0.0001,ba73e338-21dd-4f6c-93d1-4c4818c31094,MIND_MULTIDAE_PARAMS_TUNING_1704786905
0.6181,0.637,0.5396,0.8707,0.4384,0.1781,0.9822,0.0963,5493.2681,0.9792,0.0113,0.0,6e8764e5-d7e9-4e21-ae92-f55bb26e0cf9,MIND_MULTIDAE_PARAMS_TUNING_1704786905
