recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.5473,0.5375,0.4494,0.818,0.3436,0.1618,0.9849,0.2165,5093.592,0.9693,0.0054,0.0,def604fd-bba9-4a5b-99e2-24adcab1e897,MIND_NGCF_PARAMS_TUNING_1713444975
0.5613,0.5483,0.4609,0.8293,0.3534,0.1676,0.9862,0.3146,4876.5287,0.9614,0.0038,0.0,9045114a-c031-4b00-92c6-f0229f7b3363,MIND_NGCF_PARAMS_TUNING_1713446143
0.5556,0.5621,0.4626,0.8189,0.3551,0.1695,0.9853,0.1176,5931.2997,0.982,0.009,0.0001,2bea3260-a297-4476-b10b-b74563c7eb67,MIND_NGCF_PARAMS_TUNING_1713446143
0.5347,0.5391,0.4372,0.8051,0.3294,0.1598,0.983,0.096,5918.2966,0.9832,0.0109,0.0,129e43c3-b0c2-4af4-af22-6a879265b70c,MIND_NGCF_PARAMS_TUNING_1713446143
0.57,0.5492,0.4671,0.837,0.3595,0.1683,0.9864,0.3518,4760.0534,0.9591,0.0035,0.0,a918ed22-f86d-4e16-b69b-9f275bae470b,MIND_NGCF_PARAMS_TUNING_1713446143
0.5234,0.5021,0.4217,0.7985,0.3192,0.1485,0.9813,0.3527,4643.1436,0.956,0.0035,0.0,7afe600c-8d07-4ad2-96d1-581695487a74,MIND_NGCF_PARAMS_TUNING_1713446143
0.6499,0.6503,0.5614,0.8894,0.4546,0.2,0.9897,0.1721,4868.1755,0.9687,0.0068,0.0,95b96408-01cb-4c1f-8a6e-fb75c9d54b8c,MIND_NGCF_PARAMS_TUNING_1713446143
0.482,0.482,0.3944,0.7509,0.2962,0.1455,0.982,0.1486,5201.2534,0.978,0.0074,0.0001,efda2b47-6ecf-4c20-a31d-ac1f393d997b,MIND_NGCF_PARAMS_TUNING_1713446143
0.5306,0.5019,0.4219,0.8085,0.3159,0.1513,0.9814,0.3961,4482.5415,0.951,0.0032,0.0,4ad84926-cbc3-4627-babf-e7a6f72c445e,MIND_NGCF_PARAMS_TUNING_1713446143
0.6698,0.6632,0.5797,0.9022,0.4736,0.2063,0.991,0.2131,4693.861,0.9642,0.0057,0.0,293c2499-53e8-4f2f-aa18-76393db61a28,MIND_NGCF_PARAMS_TUNING_1713446143
0.5212,0.5026,0.421,0.7994,0.3177,0.1505,0.9816,0.3914,4560.8635,0.9526,0.0032,0.0,61e11cf7-af09-468e-a13a-322f6d305ff2,MIND_NGCF_PARAMS_TUNING_1713446143
0.5324,0.5068,0.4271,0.8092,0.3217,0.153,0.9814,0.4029,4424.2511,0.949,0.0031,0.0,6b4d0422-1d23-4b8c-9b42-a6f720e4c302,MIND_NGCF_PARAMS_TUNING_1713446143
0.6451,0.6458,0.557,0.8861,0.4508,0.1978,0.9894,0.1475,5041.6396,0.9712,0.0079,0.0,3e340864-2524-461b-bbb7-a7816a08579d,MIND_NGCF_PARAMS_TUNING_1713446143
0.5583,0.5642,0.4646,0.8216,0.3568,0.1697,0.9853,0.1178,5893.0724,0.9818,0.009,0.0,84ebfdbe-4cdb-45c8-b534-bc76d1743c2f,MIND_NGCF_PARAMS_TUNING_1713446143
0.6654,0.6681,0.5819,0.8993,0.4778,0.2052,0.9907,0.2152,4706.5122,0.965,0.0056,0.0,0cde10eb-f31f-4b6f-aa62-14e593d4d294,MIND_NGCF_PARAMS_TUNING_1713446143
0.6642,0.6524,0.5697,0.9001,0.4618,0.2034,0.9909,0.2254,4635.4515,0.9627,0.0054,0.0,ad4359c7-4d6c-4020-9e49-cca81fd0afcd,MIND_NGCF_PARAMS_TUNING_1713446143
0.5078,0.4976,0.4108,0.7857,0.3081,0.1481,0.9818,0.3078,4929.8172,0.9644,0.0039,0.0001,7316495d-63f8-4309-905e-c8f5d1a78379,MIND_NGCF_PARAMS_TUNING_1713446143
0.5692,0.5478,0.466,0.8341,0.3583,0.1687,0.9864,0.3368,4757.4856,0.96,0.0036,0.0,31d2c1be-c1ec-47d9-a0b6-f7e8ff72ca89,MIND_NGCF_PARAMS_TUNING_1713446143
0.6744,0.6731,0.5889,0.906,0.4841,0.2081,0.9913,0.2711,4529.5366,0.959,0.0045,0.0,4ff62754-7c71-418e-8e0a-4b2579ee106b,MIND_NGCF_PARAMS_TUNING_1713446143
0.5491,0.5255,0.4437,0.8213,0.3363,0.161,0.9849,0.3649,4771.2652,0.9556,0.0034,0.0,fb3903c9-4329-45e4-bf43-0687b74b8ac7,MIND_NGCF_PARAMS_TUNING_1713446143
0.5513,0.5336,0.4502,0.8231,0.3444,0.1611,0.9849,0.3629,4754.6944,0.9557,0.0034,0.0,afbe88bc-2cde-4d69-84b1-df29abb7a282,MIND_NGCF_PARAMS_TUNING_1713446143
0.5206,0.49,0.4102,0.7968,0.3036,0.1501,0.9819,0.3393,4779.3541,0.9588,0.0036,0.0,a2e2438e-af55-4c28-a3e1-e6af966b648d,MIND_NGCF_PARAMS_TUNING_1713446143
