recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6179,0.6026,0.5212,0.8602,0.4136,0.1935,0.9896,0.2539,5189.8506,0.9662,0.0046,0.0,e74ce017-de37-4480-a9ee-54d15a009944,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3181,0.31,0.2293,0.5827,0.147,0.0924,0.9649,0.0152,8762.3911,0.9956,0.0479,0.0,1cfeb74a-f70d-41c1-afa6-73002cf3a08a,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.4989,0.4756,0.3967,0.7776,0.294,0.1459,0.9809,0.2861,4889.0495,0.9674,0.0041,0.0005,8835cbe5-43f8-4c18-9674-29502f3bb9e5,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3381,0.3085,0.2334,0.6045,0.1471,0.0936,0.9646,0.0143,8816.4029,0.9956,0.0508,0.0,1e23f24e-5fdc-4e96-8503-ea56d0746292,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5672,0.5615,0.4718,0.8343,0.3655,0.1681,0.9856,0.3046,4719.0458,0.9616,0.004,0.0001,58e0470f-8244-428e-a129-05a502e61930,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3159,0.3123,0.231,0.5782,0.1504,0.0911,0.965,0.014,8818.572,0.9956,0.0518,0.0,e26e4bbc-e3a9-46de-bf85-a15a00ec6c51,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5847,0.563,0.4823,0.8484,0.3747,0.1725,0.9867,0.4043,4428.7922,0.9498,0.0031,0.0,fa19b22c-7cc8-4ac3-b419-fd8dc93560be,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3238,0.3115,0.2328,0.5841,0.1507,0.0917,0.9649,0.0143,8905.4622,0.9955,0.051,0.0,3440b3a5-a5d7-4371-9aa6-e8bb7e1df984,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3391,0.3176,0.2409,0.6004,0.1568,0.0937,0.9655,0.014,8951.0683,0.9956,0.0518,0.0,538781e6-c972-4c17-a9d5-c0e74f2b217f,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5674,0.5591,0.4709,0.835,0.3646,0.168,0.9857,0.3003,4713.6789,0.962,0.004,0.0001,418f4b88-0277-4547-bb49-d7966ef11216,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5396,0.5163,0.4372,0.8143,0.3319,0.1581,0.9793,0.5429,3863.3946,0.9208,0.0025,0.0007,28066114-fbf0-4e02-80be-359cddbb53ba,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5187,0.5261,0.4333,0.7796,0.3299,0.1675,0.9854,0.1438,5619.1445,0.9758,0.0078,0.0,54627bb4-6c6b-4ade-8bff-13c23eeb0bad,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5674,0.5591,0.4709,0.835,0.3646,0.168,0.9857,0.3003,4713.6716,0.962,0.004,0.0001,1c4716d3-ca10-4dfd-a95b-b9b7ec9b22fa,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3181,0.31,0.2293,0.5827,0.147,0.0924,0.9649,0.0152,8761.9307,0.9956,0.0479,0.0,4ca08175-438c-4ccf-b0e2-8dc93682cf96,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3288,0.3147,0.2354,0.5906,0.1523,0.0928,0.9652,0.0138,8927.4869,0.9956,0.0527,0.0,97278b87-f640-4141-a16c-463fd12de564,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3478,0.311,0.2384,0.611,0.151,0.0955,0.9651,0.0147,8882.4307,0.9956,0.0494,0.0,25c36557-dc70-445a-8520-4bbfea5f7dbd,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5642,0.5296,0.4552,0.8353,0.3478,0.1637,0.9843,0.4335,4301.9931,0.9444,0.003,0.0,e203e37d-d0cf-4caf-a632-4dfa4a41ab71,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3459,0.3173,0.245,0.6087,0.1605,0.0947,0.9649,0.0143,8935.0871,0.9956,0.051,0.0,7d0d896e-ee20-4b83-bd48-a0fff7a44c44,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3157,0.3105,0.229,0.58,0.1477,0.0913,0.9643,0.0134,8823.2681,0.9956,0.0543,0.0,c70a925c-1cdb-4ca9-a3ee-93613cf9eb82,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3288,0.3147,0.2354,0.5906,0.1523,0.0928,0.9652,0.0138,8927.4869,0.9956,0.0527,0.0,f3b898ec-979f-451c-907c-c04c064f19ea,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3159,0.3122,0.231,0.5782,0.1504,0.0911,0.965,0.014,8818.5897,0.9956,0.0518,0.0,413364b3-4575-4196-83e6-98c97b9476ce,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.3391,0.3176,0.2409,0.6004,0.1568,0.0937,0.9655,0.014,8951.0683,0.9956,0.0518,0.0,dea96d3b-2089-4a3b-9132-cdc583113aa9,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.5355,0.5307,0.4425,0.808,0.3384,0.1606,0.985,0.2231,5195.3193,0.9724,0.0051,0.0023,036ac313-85c6-42c0-8485-500fe8647244,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.4839,0.4448,0.3695,0.7671,0.2644,0.1411,0.9806,0.2874,5099.137,0.9652,0.0041,0.0,14b2ccf3-7b30-4e44-ac51-8b27f2083415,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.318,0.3111,0.2299,0.5825,0.1481,0.0916,0.9643,0.0134,8836.6474,0.9956,0.0543,0.0,8d34fdc2-9ce3-4d47-96d9-138047277604,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
0.6137,0.6055,0.5203,0.8549,0.4133,0.1933,0.989,0.2304,5268.081,0.9681,0.0051,0.0,4b84f7de-17cf-414a-96e3-3008e58393a1,MIND_SPECTRALCF_PARAMS_TUNING_1705171512
