recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1117,0.3353,0.1784,0.6369,0.0942,0.1449,0.905,0.5937,1012.4536,0.8543,0.0029,0.0001,6a8af0c8-0151-4ca3-88f6-2bd8d493b139,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1633,0.4473,0.2577,0.7406,0.1533,0.2019,0.927,0.4443,1182.1085,0.8951,0.0037,0.0,27db4ddb-5a90-4f4c-9740-b712a55dba68,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1185,0.3489,0.1912,0.6474,0.1046,0.1557,0.9123,0.5703,1035.7476,0.8594,0.003,0.0005,d3af0945-a408-438b-944d-d4fb6b83ab2a,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1117,0.3353,0.1784,0.6369,0.0942,0.1449,0.905,0.5937,1012.4536,0.8543,0.0029,0.0001,9408972e-32eb-43ce-a9eb-430c1b911ad3,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1534,0.4327,0.2471,0.7204,0.147,0.1948,0.9239,0.3836,1276.2562,0.9177,0.0041,0.0001,5f0f1988-da13-4937-8a7e-58b866a1a66e,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.0749,0.2684,0.1346,0.5132,0.0711,0.1089,0.8531,0.0394,2079.8259,0.994,0.0231,0.0004,810965d0-cca6-4ea6-9ac4-67d7494c420e,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1121,0.3791,0.2007,0.6339,0.1153,0.1595,0.9036,0.1756,1776.122,0.9795,0.0069,0.0001,368c243f-40d2-49a9-b5ea-4f73472fe0e8,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1452,0.4327,0.243,0.7043,0.1455,0.1908,0.92,0.2954,1484.0964,0.9493,0.0049,0.0001,2e770478-ceee-426a-81f4-d6724c2233f2,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.0748,0.2656,0.1336,0.5118,0.0703,0.108,0.8533,0.0361,2084.5637,0.9941,0.0251,0.0006,e6ac09af-3d85-47d4-997d-7db74a9b138d,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1444,0.4268,0.2394,0.7023,0.142,0.1893,0.9205,0.3224,1417.0535,0.9418,0.0046,0.0,64263c08-0e1b-4469-93be-b85e3fb4ddea,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.122,0.3976,0.2142,0.6561,0.1252,0.1696,0.9097,0.2126,1669.2791,0.9712,0.0061,0.0002,688dd139-58df-4dd3-95d6-58c45b72c3bd,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1085,0.3654,0.1918,0.6248,0.1084,0.1529,0.9013,0.1602,1738.861,0.9791,0.0076,0.0002,f74bb5a7-183c-4ce2-9cf1-928b03d46964,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1534,0.4327,0.2471,0.7204,0.147,0.1948,0.9239,0.3836,1276.2562,0.9177,0.0041,0.0001,acbfa871-a3b4-4114-9411-98a04fbbdc60,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1247,0.4,0.2165,0.6641,0.126,0.1721,0.9125,0.2476,1591.5783,0.9642,0.0055,0.0001,4cccf030-c930-4788-902b-4d5d13b0af3c,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.0746,0.2577,0.1309,0.5119,0.0683,0.1071,0.8528,0.0426,2082.2911,0.9941,0.0213,0.0005,7392dd31-0977-478c-927e-aa4404d8a6a5,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1025,0.3183,0.1675,0.6189,0.0878,0.1371,0.8983,0.4842,1128.3338,0.8956,0.0034,0.0,408ef200-65dc-4617-9f08-a619b8774c6d,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.16,0.4346,0.2522,0.7336,0.1493,0.2,0.9263,0.4535,1166.6326,0.8928,0.0037,0.0,db5b7354-7f9a-41ed-beb5-1d732bc2fae7,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.0792,0.2796,0.1431,0.5341,0.0765,0.1167,0.8692,0.055,2066.9302,0.9933,0.0171,0.0002,307e6b4e-3a0c-43b4-aad6-62e919144516,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1185,0.3489,0.1912,0.6474,0.1046,0.1557,0.9123,0.5703,1035.7476,0.8594,0.003,0.0005,c713700a-a5cd-4ef4-a9ee-a9e1fb09df72,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1025,0.3183,0.1675,0.6189,0.0878,0.1371,0.8983,0.4842,1128.3338,0.8956,0.0034,0.0,18351674-2fac-4510-91b4-8e1991d7d14f,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1117,0.3353,0.1784,0.6369,0.0942,0.1449,0.905,0.5937,1012.4536,0.8543,0.0029,0.0001,ded130e8-805d-4848-8c13-89e199758774,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
0.1185,0.3489,0.1912,0.6474,0.1046,0.1557,0.9123,0.5703,1035.7476,0.8594,0.003,0.0005,ed26b058-16ac-4499-b720-fd05331599ff,MOVIELENS_1M_BPR_PARAMS_TUNING_1702559104
