recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1216,0.3833,0.2104,0.6593,0.1214,0.1703,0.9139,0.259,1503.8318,0.9595,0.0054,0.0,aeed5090-61a8-43c2-afde-5747be1e244f,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1325,0.3733,0.2135,0.68,0.1214,0.1755,0.9202,0.4313,1043.9281,0.8826,0.004,0.0,dd93916e-1333-4908-a691-f0007f95e7c9,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1141,0.3474,0.1877,0.6474,0.102,0.1536,0.9123,0.4587,1064.0547,0.8889,0.0037,0.0,c2e5c18f-de88-4836-8160-c8e2a86c8422,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1588,0.4304,0.2493,0.7399,0.1457,0.1992,0.9248,0.5503,1068.158,0.8597,0.0032,0.0001,eca697a5-f7cd-4ec3-a42b-f7ad9098095f,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.112,0.3525,0.1925,0.6364,0.1076,0.1581,0.9124,0.3591,1199.9222,0.9235,0.0044,0.0,da93badc-eef6-4d18-87f6-eb81bc8df972,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1141,0.3474,0.1877,0.6474,0.102,0.1536,0.9123,0.4587,1064.0547,0.8889,0.0037,0.0,c2ab3739-4253-4809-abd1-0d1d06963484,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1141,0.3474,0.1877,0.6474,0.102,0.1536,0.9123,0.4587,1064.0547,0.8889,0.0037,0.0,b4fbd755-2978-422a-b50d-2f01d2fd787d,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.0781,0.2853,0.1405,0.527,0.0741,0.1122,0.8537,0.0331,2016.1481,0.9928,0.0294,0.0,e6cc848d-cb9f-4132-829c-e34ab68764fd,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.0743,0.2737,0.1346,0.5081,0.0708,0.1072,0.8492,0.0271,2068.555,0.9939,0.0343,0.0,7029b2c7-e5a5-4eff-8d60-f0936544dba7,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1631,0.4327,0.2472,0.7505,0.1414,0.1954,0.9246,0.5304,1070.3937,0.8653,0.0033,0.0,964c3a66-e029-448e-859a-2ecc244e5f6b,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1464,0.4137,0.2353,0.7109,0.1366,0.1888,0.924,0.4439,1148.1839,0.892,0.0038,0.0,baf00917-2a0a-41b3-aa3c-d54ce3450b8f,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
0.1216,0.3833,0.2104,0.6593,0.1214,0.1703,0.9139,0.259,1503.8318,0.9595,0.0054,0.0,5eaca3f6-299f-4298-b92e-56239c398445,MOVIELENS_1M_CFKG_PARAMS_TUNING_1702805705
