recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1246,0.3987,0.2178,0.6666,0.1272,0.1744,0.9111,0.2371,1617.9029,0.9669,0.0057,0.0,f642264b-403b-4d7e-a226-fbee4f711d56,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1135,0.358,0.1908,0.6421,0.1052,0.1535,0.9084,0.4092,1172.2734,0.9152,0.0039,0.0,23f7872b-b2f6-47db-af83-64d693efad51,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.0753,0.2657,0.1338,0.5094,0.0702,0.1086,0.8525,0.0391,2070.1928,0.994,0.0236,0.0003,ce4b7b56-de21-46f6-9833-7d72b9e4f0b0,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1051,0.3226,0.1692,0.6224,0.088,0.1384,0.902,0.5052,1036.897,0.8829,0.0034,0.0,7b3b0724-6a28-465b-a8b9-f35ffd871187,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.0953,0.3443,0.1757,0.5884,0.0987,0.1395,0.8882,0.1039,1934.9621,0.9886,0.0104,0.0001,a9de4029-b895-4b79-b9d2-52e9dc09934c,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1459,0.4277,0.2418,0.7118,0.143,0.1927,0.9212,0.3266,1363.2135,0.9357,0.0047,0.0,dbcb6770-572c-45ea-b1df-418b0c67b6e4,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1548,0.4414,0.2517,0.728,0.1496,0.1994,0.9241,0.4218,1230.8603,0.9087,0.0039,0.0,8acdae02-3d5d-4b6a-b21c-08cf6e967bfb,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1277,0.4058,0.2231,0.6753,0.1311,0.1789,0.9129,0.2462,1595.7744,0.9643,0.0056,0.0,75e3e851-8d57-403a-8897-45e87b67fb35,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1643,0.4457,0.2568,0.7485,0.1513,0.2032,0.927,0.4532,1160.9231,0.8913,0.0037,0.0,6ac5ec0c-4e33-4ea9-9102-7700cc21dd7e,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.091,0.3002,0.1554,0.5828,0.0814,0.1272,0.8912,0.3679,1284.8271,0.9363,0.0041,0.0002,fcefb5e6-a157-4868-8b23-804fa4f5eb12,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1024,0.3202,0.1703,0.6141,0.0901,0.1418,0.9024,0.4196,1150.6454,0.9099,0.0039,0.0,180c7ff1-634d-4a90-bd02-1ba1bd910815,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
0.1556,0.4352,0.2497,0.7343,0.1474,0.1989,0.9245,0.4475,1179.891,0.8967,0.0037,0.0,cba7e584-5007-4ae7-b8fd-20467643b0de,MOVIELENS_1M_CKE_PARAMS_TUNING_1702890604
