recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1514,0.4162,0.2338,0.7189,0.1337,0.1845,0.8896,0.2784,1237.008,0.9299,0.0056,0.0,8558436e-6811-4a3e-af73-8898ca10d690,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1514,0.4162,0.2338,0.7189,0.1337,0.1845,0.8896,0.2784,1237.008,0.9299,0.0056,0.0,c285d197-51b1-440c-96a5-1a5da44746ca,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1435,0.3968,0.223,0.7063,0.126,0.1774,0.8903,0.2746,1233.5101,0.9288,0.0057,0.0,d874c0c8-b691-4896-ad0f-400a6d5302d0,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1115,0.3553,0.186,0.6209,0.1034,0.1452,0.8789,0.1298,1519.9359,0.9716,0.0103,0.0,6085a47b-4464-40af-bd35-a4297eabf217,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1421,0.4119,0.2302,0.7022,0.1336,0.1827,0.895,0.2592,1294.7459,0.9354,0.0059,0.0,e3d60820-8ffc-4049-afd0-e14137b8f59a,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.02,0.0719,0.0318,0.2179,0.0116,0.0292,0.5,0.0151,903.148,0.9966,0.0491,0.0,694de80d-400e-4175-9b6c-b94cc36948bf,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1514,0.4162,0.2338,0.7189,0.1337,0.1845,0.8896,0.2784,1237.008,0.9299,0.0056,0.0,68addd10-0744-443f-8998-89fdca5f1978,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1547,0.4303,0.2457,0.7219,0.1447,0.1937,0.8953,0.2957,1232.8777,0.9216,0.0054,0.0,0724f949-2f9b-4e57-9944-bd29c825280b,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1435,0.3968,0.223,0.7063,0.126,0.1774,0.8903,0.2746,1233.5101,0.9288,0.0057,0.0,09e6a04a-6d3f-4599-957d-0c4db510d183,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.1514,0.4162,0.2338,0.7189,0.1337,0.1845,0.8896,0.2784,1237.008,0.9299,0.0056,0.0,433b68c9-c436-4008-87a8-e22913cc1d52,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
0.02,0.0719,0.0318,0.2179,0.0116,0.0292,0.5,0.0151,903.148,0.9966,0.0491,0.0,dc136525-f785-48dc-9083-9e9ca15ee45d,MOVIELENS_1M_DMF_PARAMS_TUNING_1702716004
