recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0629,0.2433,0.1183,0.4646,0.061,0.0967,0.851,0.0394,1976.4254,0.9943,0.023,0.0006,6de2cba0-7635-4299-9e04-1e243dec448a,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1138,0.3702,0.1978,0.6417,0.1121,0.1584,0.9078,0.2295,1534.3981,0.9629,0.0061,0.0001,af75aeaa-e992-4685-af8f-4d1cb9e55daa,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1023,0.3437,0.1798,0.6101,0.0989,0.1454,0.8985,0.1846,1587.0633,0.9694,0.0073,0.0,dace58da-0880-4691-b397-611646975cec,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1189,0.3559,0.1927,0.6566,0.1049,0.1569,0.9111,0.5175,1095.2189,0.8772,0.0033,0.0,ed8a3e19-a665-4ff9-a762-20c3946f8a6e,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0731,0.2631,0.131,0.5015,0.0685,0.1057,0.8513,0.0325,2076.1424,0.9941,0.0281,0.0005,f3847736-caf1-4629-af85-fef6f4117078,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0943,0.3119,0.1611,0.5914,0.0848,0.1325,0.8992,0.4822,1151.4388,0.8962,0.0034,0.0001,f2f84b5c-7f28-464d-b6ae-80e461bd0ca3,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.12,0.3658,0.1997,0.6548,0.1112,0.1628,0.9151,0.4461,1201.422,0.9083,0.0037,0.0011,fc002956-d962-46bb-82d6-a5fa894f2158,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1117,0.3533,0.189,0.6422,0.1039,0.1536,0.91,0.4661,1201.6588,0.9037,0.0035,0.0,1f621cc4-85fe-4877-91fe-764718e9c50b,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1117,0.3533,0.189,0.6422,0.1039,0.1536,0.91,0.4661,1201.6588,0.9037,0.0035,0.0,f582a31b-551f-400b-aa21-ff901a47fdad,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1,0.3164,0.1661,0.6045,0.0871,0.1365,0.9009,0.5566,1038.8386,0.8642,0.0031,0.0002,c7e91f6c-3139-4101-9e6b-c22375fbb04b,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0725,0.2471,0.127,0.501,0.0656,0.1054,0.8513,0.0369,2057.834,0.9942,0.0247,0.0008,7dbf40a0-282c-4589-ad0b-e47f6df7a81e,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0729,0.2616,0.1305,0.4988,0.0683,0.1054,0.8514,0.0306,2076.6139,0.9941,0.0299,0.0003,bdb05bd7-8edc-4d46-9475-b7bd4311bb72,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1018,0.302,0.1681,0.606,0.0894,0.1434,0.9089,0.4316,1028.3196,0.9005,0.0039,0.0044,f266c7b9-1438-4886-81dd-46812a350aa4,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1233,0.3919,0.2102,0.6682,0.1195,0.1671,0.9139,0.3074,1422.6756,0.9448,0.0049,0.0,e786cb43-0509-432e-89c0-88f4d10b64ee,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1,0.3164,0.1661,0.6045,0.0871,0.1365,0.9009,0.5566,1038.8386,0.8642,0.0031,0.0002,799d9005-1e9b-43ed-a645-81c706808970,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0735,0.263,0.1314,0.5022,0.0689,0.1061,0.8515,0.0539,2079.6003,0.994,0.0171,0.0002,be60d06c-a63e-4917-b2c9-d9dd49b8661b,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0726,0.258,0.129,0.5,0.067,0.1044,0.8492,0.0339,2060.1651,0.9941,0.027,0.0001,a804cf47-f2ba-4608-8035-6adf64d6edd2,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1367,0.3961,0.2228,0.6932,0.1273,0.1804,0.9203,0.4346,1164.3479,0.8966,0.0039,0.0001,8558bcf5-c0ef-42ee-a5cc-ed0bfe6be296,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1018,0.302,0.1681,0.606,0.0894,0.1434,0.9089,0.4316,1028.3196,0.9005,0.0039,0.0044,8a3a3572-3ac1-4dc2-9ef3-f6b87678e72c,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1353,0.4095,0.2262,0.6846,0.1311,0.1796,0.9193,0.3764,1270.4349,0.9178,0.0043,0.0,bebd9ae9-703e-4d50-838c-42672310dabf,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1059,0.3393,0.1799,0.6209,0.0978,0.1459,0.9056,0.3611,1355.9518,0.9395,0.0042,0.0018,5d1fff22-45b2-4f5b-a098-922e0db5de26,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1306,0.3898,0.2179,0.681,0.1249,0.1776,0.9205,0.4034,1197.8875,0.9055,0.0041,0.0,e83d3f7c-ef14-4558-a7b6-c139f4b66d86,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1188,0.3558,0.1942,0.6548,0.1062,0.1593,0.9135,0.4992,1093.6553,0.886,0.0034,0.001,5aa8761b-aafd-4cf9-913c-88b303f78948,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1301,0.39,0.2168,0.6808,0.1244,0.1758,0.9182,0.4136,1212.865,0.9095,0.004,0.0,2e607b46-413b-4e8f-98ed-14be7f86cf2f,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1148,0.3574,0.1926,0.6478,0.106,0.1573,0.9107,0.4374,1241.0588,0.9112,0.0037,0.0,d983f13b-a8f7-4e4a-8249-73a251f5fb62,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1188,0.376,0.2027,0.6583,0.1143,0.1637,0.9141,0.3684,1300.3087,0.926,0.0043,0.0001,b9b81e96-5ec8-4b2f-91e7-cd4ac4f48a64,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1265,0.3917,0.2138,0.6742,0.1221,0.172,0.9173,0.3627,1309.4557,0.9262,0.0044,0.0,46dbd2b9-3d78-4182-92e7-251a2d81bfa8,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1282,0.3947,0.2175,0.6757,0.1249,0.1753,0.9194,0.3972,1250.8364,0.9119,0.0041,0.0,828eeb19-935c-4347-b5d0-6dd11161b06c,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0981,0.3069,0.1633,0.6007,0.0862,0.1352,0.8997,0.4956,1117.0325,0.8863,0.0034,0.0001,abb11061-e6fe-415f-b79d-f6e3b6091b70,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1254,0.3929,0.2143,0.6662,0.1235,0.172,0.9172,0.3386,1352.4497,0.9385,0.0045,0.0,c455da83-58ea-42b8-800c-836af5f5fe0b,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1203,0.3608,0.1955,0.6603,0.1074,0.1586,0.9122,0.4967,1081.7053,0.8802,0.0035,0.0,95033709-19c3-4e85-bed3-07067ab1ff77,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1014,0.3415,0.1771,0.6152,0.0963,0.1432,0.9054,0.3496,1378.8121,0.9426,0.0043,0.0011,bf8e87af-322c-409f-9e1b-bce2ec740042,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1315,0.3956,0.2187,0.6894,0.1255,0.176,0.9192,0.4086,1186.5531,0.9043,0.004,0.0,214cc414-9aaf-4e6a-ae93-466e1918c2b8,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0731,0.2637,0.1312,0.501,0.0687,0.1055,0.8514,0.0304,2079.8672,0.9941,0.0301,0.0001,63607fde-6b9f-49fb-922e-a12bdd059294,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1219,0.3834,0.2079,0.6627,0.1183,0.1672,0.9148,0.3627,1281.1701,0.9265,0.0044,0.0,4d17ba33-85ce-47b7-a3d8-8b487b6b9ed7,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1398,0.4074,0.2267,0.7008,0.1292,0.1816,0.9212,0.4256,1222.0477,0.905,0.0039,0.0,00a28326-74a6-43de-82ce-ac0c594d75d3,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0732,0.2616,0.1312,0.5022,0.0689,0.1062,0.8514,0.0309,2080.1362,0.9941,0.0296,0.0003,c1407803-f0b3-4960-bc0a-5c293ca30614,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1239,0.3654,0.2044,0.6584,0.1155,0.1675,0.9157,0.4021,1198.2722,0.9077,0.0041,0.0,71f3355a-2b17-4617-807c-f04b3d30aba6,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1295,0.394,0.2179,0.6796,0.1254,0.1757,0.9192,0.3777,1253.8873,0.9182,0.0043,0.0,266d258c-4257-470f-a4d7-2f576a98e621,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.099,0.3115,0.1678,0.5992,0.0898,0.1402,0.9037,0.3323,1256.7204,0.9403,0.0046,0.0017,b54a72de-3d38-4447-b7b9-55c985f68139,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0629,0.2433,0.1183,0.4646,0.061,0.0967,0.851,0.0394,1976.4254,0.9943,0.023,0.0006,e535abfa-b3e8-4c0a-9de3-56571b934d2e,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0731,0.2632,0.1314,0.501,0.0689,0.1061,0.8514,0.0372,2081.2504,0.9941,0.0246,0.0002,59bd72aa-5444-441e-9e62-4190590b89b1,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1488,0.4141,0.2326,0.7154,0.1323,0.1843,0.923,0.5181,1113.9725,0.8682,0.0034,0.0,235819a4-f398-4050-918d-a1d2c82bf20f,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.0727,0.2622,0.1311,0.5008,0.0688,0.1059,0.8515,0.0345,2080.4013,0.9941,0.0266,0.0002,887ca71c-7798-423b-981f-161baad32d61,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1354,0.3948,0.2212,0.6896,0.1266,0.1795,0.92,0.4171,1203.4649,0.9055,0.004,0.0001,7256f540-8d7e-4ded-8c3b-5c3aa21757a2,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1161,0.3557,0.1943,0.6417,0.1086,0.1586,0.911,0.2653,1487.2617,0.9567,0.0054,0.0,13e806b2-6982-4df5-9de7-db6339399eb0,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1256,0.3812,0.2089,0.6697,0.1183,0.1685,0.9137,0.3263,1360.2751,0.9387,0.0047,0.0,6885d99a-6185-4244-825a-42592e4a4c87,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
0.1079,0.3473,0.1858,0.6268,0.1025,0.1512,0.907,0.3392,1328.4184,0.938,0.0045,0.001,417e35f3-87ec-46a5-b7cf-8c279cbd8f79,MOVIELENS_1M_KGCN_PARAMS_TUNING_1711135329
