recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0729,0.2532,0.1287,0.4995,0.0668,0.1056,0.851,0.0295,2070.7079,0.9941,0.031,0.0006,5a9f1788-62e6-4eb7-879c-4a9e5e0fff95,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0731,0.2626,0.1315,0.5015,0.069,0.1062,0.8515,0.0361,2078.355,0.9941,0.0254,0.0003,ed1556a1-60ff-4a28-b434-30c4dc264be9,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1346,0.4069,0.2255,0.6882,0.1304,0.181,0.9224,0.4067,1215.8302,0.9093,0.004,0.0001,fc4d6a45-cb5c-4493-9e78-71dc202eca00,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1096,0.3637,0.1927,0.6291,0.1087,0.1546,0.9065,0.23,1524.0234,0.9629,0.0061,0.0,1a315637-d5c0-43fc-bd0e-139fa8a3ce25,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1316,0.401,0.2232,0.682,0.1296,0.1804,0.9221,0.4324,1170.4184,0.9004,0.0039,0.0001,7749b0c7-451f-4e12-870d-5ab73de96b6d,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.073,0.2629,0.131,0.5005,0.0686,0.1057,0.8513,0.0309,2076.2381,0.9941,0.0296,0.0005,9a5077e3-18f1-4f92-9b6c-e05b62694a4b,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0727,0.2626,0.1311,0.5023,0.0687,0.1059,0.8515,0.0328,2080.4347,0.9941,0.0279,0.0006,1146b4ce-15b5-4aab-9d24-c9b5952d2799,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1096,0.3637,0.1927,0.6291,0.1087,0.1546,0.9065,0.23,1524.0274,0.9629,0.0061,0.0,afc92ffb-0177-4a0b-9a76-e0f11a9cb7dc,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0727,0.2626,0.1311,0.5023,0.0687,0.1059,0.8515,0.0328,2080.4347,0.9941,0.0279,0.0006,f0700e94-073b-4aad-a0f0-b7e86e043cd4,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1316,0.401,0.2232,0.682,0.1296,0.1804,0.9221,0.4324,1170.4184,0.9004,0.0039,0.0001,ea0c0438-dd5a-4362-9f91-ba8e3a98276b,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1189,0.3556,0.1926,0.657,0.1048,0.1568,0.9111,0.517,1094.8509,0.8773,0.0033,0.0,7b8aec05-053a-4a73-acc6-1afeadd37cf2,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1347,0.4014,0.2242,0.6861,0.1295,0.1812,0.9203,0.3714,1279.8888,0.9228,0.0043,0.0002,dd402b9a-bcb3-410c-b3c9-d3167d428d85,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1312,0.4037,0.2233,0.6838,0.129,0.1807,0.922,0.3868,1234.2239,0.9134,0.0042,0.0,fc2329ea-c1ca-4a7d-a270-55787a11da44,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1334,0.4021,0.2236,0.6836,0.1294,0.1801,0.9203,0.3755,1271.4013,0.9208,0.0043,0.0001,00ab7297-cd12-48e7-96c0-6b833c5b9b80,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1338,0.388,0.2165,0.6901,0.1227,0.1757,0.9205,0.4721,1071.8073,0.8778,0.0037,0.0,846a7d72-5a78-4edd-b5c8-fef8eeaebbd4,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0735,0.2639,0.1321,0.504,0.0693,0.1069,0.8515,0.0323,2082.8642,0.9941,0.0284,0.0002,ab3536c1-0437-451b-8abe-d8a25e86b831,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1213,0.3633,0.1958,0.6651,0.1065,0.1582,0.913,0.5074,1120.6695,0.8831,0.0034,0.0001,dec00e86-d939-4d56-afcb-907fdcbd44a4,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0731,0.2631,0.131,0.5015,0.0685,0.1057,0.8513,0.0325,2076.1419,0.9941,0.0281,0.0005,6bf75812-1786-4791-87a3-9a705219e5b2,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1537,0.4214,0.2383,0.7296,0.1361,0.1895,0.9245,0.5317,1047.8016,0.8563,0.0033,0.0,60ed1f5c-22b8-457c-ad8e-faa238215aad,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1302,0.3831,0.2129,0.6763,0.1202,0.1725,0.9172,0.4666,1175.206,0.8928,0.0036,0.0,d2d91052-cdeb-4e9e-9723-9348ed84c37e,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.126,0.392,0.2153,0.6695,0.1243,0.1734,0.9167,0.3241,1373.7805,0.9389,0.0047,0.0002,9e1ba683-6eee-4dc5-a637-dbb06b7ebea8,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0732,0.2617,0.1312,0.5017,0.0688,0.1061,0.8515,0.0323,2079.8003,0.9941,0.0284,0.0002,e5ed515c-f958-4f84-8e9f-9f406c0f1db7,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1338,0.388,0.2165,0.6901,0.1227,0.1757,0.9205,0.4721,1071.8073,0.8778,0.0037,0.0,53bb1f80-460b-4ec9-814a-2edf07278cd9,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0634,0.2293,0.1084,0.4735,0.0521,0.0878,0.8231,0.029,1876.6584,0.9947,0.0306,0.0008,d1570385-6946-42b3-ad1e-18ba9e933fbe,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.1,0.3167,0.1661,0.605,0.0871,0.1365,0.9009,0.5561,1039.1866,0.8644,0.0031,0.0002,15b28982-318e-41d1-b95f-32bd9619ad17,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.0732,0.2615,0.1311,0.5017,0.0688,0.1062,0.8515,0.0315,2080.9881,0.9941,0.0291,0.0001,42f152f0-58a7-4268-9056-3882d5118ed5,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
0.118,0.3754,0.2029,0.6483,0.1153,0.1634,0.9119,0.2869,1399.3355,0.9488,0.0052,0.0001,32c8f995-bb6e-463d-8316-89be467bcd02,MOVIELENS_1M_KGNNLS_PARAMS_TUNING_1703268605
