recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1476,0.408,0.2275,0.7096,0.1301,0.1767,0.9152,0.393,880.3768,0.8608,0.0045,0.0025,313e574f-1675-44b4-82a5-ec859726b427,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1488,0.4067,0.229,0.7177,0.1309,0.1799,0.9175,0.4238,832.3067,0.8467,0.0042,0.0031,c79a604f-e2db-4474-b4e7-5800642b449f,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.116,0.3361,0.1812,0.6483,0.0963,0.1472,0.9101,0.556,699.8866,0.797,0.0034,0.0032,5e8bcb19-5192-4324-8810-9b42457e5808,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.0896,0.3586,0.1826,0.5828,0.1033,0.1511,0.8779,0.2924,827.7319,0.911,0.0056,0.1417,60f0c888-f6c1-4acd-a23d-3676845dc19f,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.0879,0.2808,0.1454,0.5649,0.0735,0.1219,0.887,0.5239,672.5991,0.8284,0.0035,0.0309,fec1cb08-de9b-4f85-8822-c533638d7650,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1391,0.4018,0.2237,0.6987,0.1283,0.1781,0.9128,0.4025,838.869,0.855,0.0044,0.0046,f3e81acb-e9be-4a31-a6f1-b8e6b3f09cf1,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.107,0.3161,0.166,0.6252,0.0856,0.1346,0.905,0.6404,641.5142,0.757,0.003,0.0025,b424b3c9-17c9-45a5-8e20-9cbdbabb5d4a,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.0733,0.2986,0.1494,0.5313,0.0801,0.1266,0.8622,0.1349,1002.9881,0.9663,0.0103,0.146,b9d4befc-df99-48d6-bf32-efce9532ee37,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1429,0.4016,0.226,0.7048,0.1297,0.1795,0.9173,0.4537,786.7437,0.8322,0.004,0.002,8763a24b-b3d4-4782-b9b5-bf1d3134d6a0,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1301,0.3976,0.218,0.679,0.125,0.1752,0.9069,0.3717,860.2127,0.8714,0.0047,0.0134,d017937b-e35f-450b-b483-4fdda8915052,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1476,0.408,0.2275,0.7096,0.1301,0.1767,0.9152,0.393,880.3768,0.8608,0.0045,0.0025,d807d3bb-da7d-4083-b281-5edc8f692f49,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1034,0.3776,0.1961,0.6113,0.1119,0.1591,0.8899,0.2808,940.5283,0.9175,0.0058,0.0834,a1f7fd28-c2e3-4f22-af27-673f8c942b5d,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1467,0.4081,0.2287,0.7127,0.1314,0.1794,0.9137,0.3769,904.2668,0.8699,0.0046,0.0049,b6f3445b-55c4-46a6-8648-4023ef69c1dc,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.046,0.2384,0.1152,0.4272,0.0611,0.1025,0.7939,0.2598,746.3632,0.9668,0.0052,0.3452,6d320768-1f91-4b1b-a1a2-290422a6736a,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.0381,0.1907,0.0959,0.3853,0.0505,0.0875,0.7962,0.2444,929.6409,0.9781,0.005,0.3718,3aef7204-61ff-417b-bf68-5aaeae47a8b8,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.1146,0.3406,0.1822,0.6464,0.0976,0.1473,0.9095,0.5684,683.9408,0.7899,0.0033,0.0029,26bed9bd-1747-4d8a-a0ad-c9142d698366,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
0.0896,0.3586,0.1826,0.5828,0.1033,0.1511,0.8779,0.2924,827.7319,0.911,0.0056,0.1417,c8b536c4-143a-48af-bb44-d528d2080c65,MOVIELENS_1M_LINE_PARAMS_TUNING_1703429105
