recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1473,0.4086,0.2316,0.7146,0.1331,0.1841,0.9211,0.4432,1128.5135,0.8974,0.0037,0.0001,2df0c1fe-efac-41bc-b15f-50885ce1588f,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1564,0.4287,0.2431,0.7268,0.1416,0.1901,0.9233,0.495,1068.8622,0.8733,0.0035,0.0001,66366cfb-9cf4-4935-988c-b722516ea2cf,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0742,0.2625,0.131,0.5083,0.0684,0.1055,0.8524,0.0302,2088.4495,0.9942,0.0299,0.0007,3fce3973-d947-4a9d-9305-a14026a5281b,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1438,0.3992,0.2214,0.7099,0.1235,0.1747,0.9179,0.5169,1059.2682,0.8728,0.0033,0.0001,5155bd9f-e884-4ff9-8c2a-562c0f0b9724,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.073,0.2596,0.1287,0.505,0.0667,0.1033,0.8519,0.0335,2084.8438,0.9942,0.0269,0.0011,575a393e-4ed3-430e-9a14-e994464f0dfc,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1064,0.3586,0.1839,0.6129,0.1025,0.1433,0.8899,0.1025,1772.0259,0.9842,0.0115,0.0001,db06544a-5280-4021-afdb-6780b2f2586a,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0741,0.2625,0.131,0.5084,0.0684,0.1055,0.8524,0.0302,2088.8062,0.9942,0.0299,0.001,62b47571-7881-4768-8520-8dd658886e77,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0729,0.2593,0.1285,0.5058,0.0665,0.1034,0.8519,0.0289,2089.1525,0.9943,0.0311,0.0001,17eb88ac-6fac-446e-bbbe-37bb10889e02,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1614,0.4405,0.2534,0.7343,0.1505,0.1985,0.9267,0.4818,1076.5872,0.8735,0.0036,0.0,32c37d5d-026c-4da2-a1d8-52707c028ed3,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1179,0.3858,0.2023,0.6435,0.1154,0.1571,0.9012,0.1524,1629.5029,0.9759,0.0084,0.0001,3e81e394-ad4a-4841-b28b-1f1cf5ad609c,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1615,0.4397,0.2534,0.7399,0.1499,0.1995,0.9258,0.4384,1134.3636,0.8919,0.0038,0.0,fcff2a30-dbb2-456d-ad1a-7b359b9e18da,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0739,0.2626,0.1298,0.506,0.0672,0.1039,0.8517,0.0399,2085.6704,0.9942,0.0226,0.0009,53cb2012-5b54-48ea-a5fc-9fe52d5dc895,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1659,0.4462,0.2594,0.7459,0.1551,0.2039,0.9275,0.4119,1153.0377,0.8999,0.004,0.0,7c1ccec8-0611-4cdd-8f4f-e86f4ed9263c,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0738,0.2634,0.1305,0.5061,0.068,0.1045,0.8513,0.0747,2069.67,0.9937,0.0123,0.0063,0e4378de-53d7-4506-af1a-60d08acdfc53,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0731,0.2598,0.1287,0.5051,0.0667,0.1033,0.852,0.0281,2090.3325,0.9943,0.032,0.0001,ac81b319-9ac9-481c-8a0a-62948b4ce3d5,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1554,0.4337,0.247,0.7281,0.1454,0.1948,0.9244,0.4211,1153.9113,0.8993,0.0039,0.0001,011087ae-7366-4b8d-bc8a-6728d772a5f3,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0738,0.2634,0.1305,0.5061,0.068,0.1045,0.8513,0.0747,2069.67,0.9937,0.0123,0.0063,66c455c3-b98b-453e-b030-15f8c9393e72,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1461,0.4304,0.2398,0.7063,0.142,0.187,0.9181,0.2886,1379.1784,0.9423,0.0052,0.0,c2a8481d-402f-41df-8f6e-0da1b6dfebc7,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1554,0.4354,0.2475,0.7268,0.146,0.195,0.9243,0.4162,1170.3929,0.9021,0.004,0.0,3cf74d27-4b71-4ae9-a3cb-d7809694ed87,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1651,0.4336,0.2492,0.7462,0.1439,0.1944,0.9246,0.5438,1030.8342,0.8535,0.0032,0.0,76ac2801-9bc5-426b-a40a-312235c35cc0,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0736,0.2616,0.1299,0.5063,0.0678,0.1043,0.8509,0.0869,2068.9196,0.9936,0.0106,0.0054,718eedef-8b4c-470a-9392-83ac77d4082d,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1571,0.4284,0.2439,0.7273,0.1423,0.1912,0.9235,0.4875,1075.5913,0.8749,0.0035,0.0001,f1106e13-deba-4932-adf2-9d3b53cf54c4,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1643,0.4306,0.2471,0.7467,0.1421,0.1935,0.9255,0.5503,998.981,0.8471,0.0032,0.0,8546c70a-38a4-4c88-9a7b-662894b48702,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1581,0.4311,0.246,0.7315,0.1435,0.1931,0.9245,0.4872,1076.4787,0.8748,0.0035,0.0001,8e48e346-0f77-4d5c-8660-12bc8c7c16ad,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1545,0.4308,0.2449,0.7232,0.144,0.1929,0.9235,0.4106,1163.1982,0.9027,0.004,0.0001,6c19c5ab-a05d-468e-9c96-37d2821357ba,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0771,0.2679,0.1358,0.5215,0.0714,0.1099,0.859,0.0391,2079.5488,0.9939,0.0234,0.0001,614763f4-5f3f-4d21-a25a-ebb155dae3f1,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1599,0.4406,0.2545,0.7364,0.1522,0.2001,0.9251,0.3755,1204.2329,0.911,0.0043,0.0,20aa45bd-047a-4292-b488-f609339003dc,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0745,0.2597,0.1306,0.5088,0.068,0.1059,0.8526,0.0297,2087.6649,0.9942,0.0305,0.0,6432e998-0e22-4841-87f2-8b8eff441742,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1578,0.4384,0.2512,0.7265,0.1498,0.197,0.9238,0.3539,1250.7829,0.9211,0.0045,0.0,05bb59ac-7d9d-40f9-a914-0c8e51033425,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1507,0.4187,0.2346,0.7243,0.1345,0.1851,0.9217,0.4961,1086.6891,0.8753,0.0034,0.0001,76845651-df9f-4393-8311-848490f5e63a,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0738,0.2634,0.1306,0.5065,0.068,0.1045,0.8513,0.0758,2069.5368,0.9937,0.0121,0.0063,821ba8a4-d6a3-4e92-b905-f662bdbcc6ab,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0739,0.2626,0.1298,0.506,0.0672,0.1039,0.8517,0.0399,2085.6704,0.9942,0.0226,0.0009,9051d8d2-f3f2-49cf-8453-733e18a4b08c,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1072,0.3585,0.1844,0.6119,0.1027,0.1438,0.8908,0.1074,1758.0168,0.9835,0.011,0.0,e218a03b-67d3-4925-8e5b-40f693fcf8ad,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1563,0.4386,0.2502,0.725,0.1494,0.1956,0.9234,0.348,1256.6377,0.9225,0.0046,0.0,3f9f1132-b4c3-4acc-8428-418cfca6c40e,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1564,0.4287,0.2431,0.7268,0.1416,0.1901,0.9233,0.495,1068.8622,0.8733,0.0035,0.0001,24d4bac7-2ff5-4d26-8478-d717e1013367,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.073,0.2597,0.1287,0.5048,0.0667,0.1033,0.8518,0.0335,2084.8309,0.9942,0.0269,0.0011,1296b8d8-bdbe-4df5-87ca-e1467ddc9b2b,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1614,0.4399,0.2513,0.7387,0.1474,0.1966,0.9258,0.4918,1081.2851,0.8743,0.0035,0.0,39953b06-dc8f-44b7-a66e-79e9c54db243,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1663,0.4501,0.2614,0.7487,0.1571,0.2051,0.9274,0.4036,1168.4317,0.9017,0.0041,0.0,e5160d74-9b36-4618-8985-139997be8bfb,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1444,0.4284,0.2382,0.7018,0.141,0.1861,0.9181,0.2903,1369.1775,0.942,0.0052,0.0,9aba2b04-830a-4bb2-8d72-eca5071289a7,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1514,0.436,0.2458,0.7152,0.1464,0.1917,0.9204,0.3108,1328.4107,0.9348,0.0049,0.0,8ecbf923-8450-429c-8a46-c1904edc2bf5,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1631,0.445,0.2566,0.7389,0.1532,0.2016,0.9258,0.3874,1197.8753,0.9084,0.0042,0.0,c038725b-17f9-4f34-8b31-16fdcd3de0f3,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.0731,0.2596,0.1287,0.5066,0.0666,0.1034,0.852,0.0278,2089.6317,0.9943,0.0323,0.0,72212aeb-270f-42fa-9705-acce7b1b26c5,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1615,0.4383,0.2524,0.7412,0.1488,0.1987,0.9258,0.444,1115.3488,0.8886,0.0038,0.0001,f545067c-12b4-4cea-840d-f71871dcf497,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
0.1554,0.4354,0.2475,0.7268,0.146,0.195,0.9243,0.4162,1170.3929,0.9021,0.004,0.0,c6d04fa5-81c7-4180-b66b-0bbc852fa18d,MOVIELENS_1M_LIGHTGCN_PARAMS_TUNING_1703582105
