recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0157,0.0868,0.0315,0.195,0.0127,0.0246,0.7948,0.0264,780.765,0.9954,0.0318,0.0,742778e0-22f3-490c-bc5a-86c5fa44c972,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0657,0.2446,0.1213,0.4848,0.0623,0.1012,0.8513,0.0259,1998.9614,0.9945,0.0344,0.0,a43748bf-75bc-4145-ad35-5ce9ea031c11,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1068,0.3341,0.174,0.6048,0.0941,0.137,0.8892,0.1284,1567.6436,0.9735,0.0102,0.0,e9d3e74e-fdc2-4be0-a630-354b9e7fd831,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.127,0.3649,0.1932,0.6659,0.1038,0.1504,0.9033,0.2657,1310.5793,0.9401,0.0057,0.0,e54eace9-07ab-4a1e-a690-93f796a42d7f,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0737,0.2629,0.1312,0.5096,0.0685,0.1061,0.8525,0.0262,2090.532,0.9942,0.0345,0.0,d081f617-4f24-45ea-ba9b-83924a36fff0,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1305,0.3893,0.2108,0.6732,0.1195,0.1646,0.9037,0.2387,1400.178,0.9512,0.0061,0.0,f31beb80-c110-4a0f-8a18-800c5bc0259b,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0124,0.0606,0.0244,0.1705,0.0091,0.0217,0.7647,0.0677,666.2253,0.9898,0.0156,0.0008,2fa7e137-a463-453b-b614-ef83ea8b0925,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1837,0.454,0.2638,0.7831,0.1526,0.2022,0.9232,0.5517,1133.7661,0.8685,0.0031,0.0,9476f717-4b5e-4258-86a5-7f0e244e7d27,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0656,0.2447,0.1214,0.4844,0.0625,0.1012,0.8513,0.0256,2001.4364,0.9945,0.0348,0.0,86dfd932-706c-49cc-bf4c-612b00601e92,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0895,0.2934,0.1518,0.5639,0.0803,0.1231,0.8782,0.0834,1828.8318,0.9874,0.0134,0.0002,c7d769da-bf4d-4e67-b02b-08fbc3264d4e,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1599,0.4313,0.2428,0.7373,0.1397,0.1878,0.9166,0.3836,1251.0178,0.9109,0.0042,0.0,3c0d1702-3702-4105-af59-f0a42f97795e,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0118,0.0576,0.0234,0.1661,0.0086,0.021,0.765,0.0669,655.1609,0.99,0.0157,0.0008,70987ca2-67b5-469f-8bd5-34a4505e2698,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0742,0.2644,0.1323,0.5099,0.0694,0.1068,0.8532,0.0262,2092.041,0.9942,0.0345,0.0,afbb7263-e09d-4205-875c-13f2d5a68c44,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1744,0.4442,0.2556,0.7651,0.148,0.196,0.9207,0.4775,1151.5666,0.8831,0.0035,0.0,0518f0a8-2589-44e6-9712-71efba7ff488,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.177,0.4272,0.2499,0.7666,0.142,0.1936,0.9228,0.556,1043.3208,0.8471,0.0032,0.0001,64da4afe-13be-454d-9259-631bf1ded393,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1369,0.4036,0.2196,0.6841,0.1256,0.1704,0.9075,0.2868,1364.0797,0.9403,0.0053,0.0,b35d0e00-e60f-422c-a922-cbb02449b6b1,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1369,0.4036,0.2196,0.6841,0.1256,0.1704,0.9075,0.2868,1364.0797,0.9403,0.0053,0.0,91397a33-199e-4bce-9177-9a1e44c1a3eb,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1709,0.4396,0.2537,0.7526,0.1476,0.1965,0.9204,0.4432,1163.125,0.8904,0.0038,0.0,97a35c04-5b35-4b48-82ab-8ca6de441982,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.074,0.2556,0.129,0.5106,0.0666,0.1048,0.8534,0.0251,2077.1359,0.9943,0.0359,0.0,818175d6-c57c-4fa9-9908-2c972b236b6c,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1709,0.4396,0.2537,0.7526,0.1476,0.1965,0.9204,0.4432,1163.125,0.8904,0.0038,0.0,ecb086a1-8ea6-43d1-9e22-5ed384307bc3,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1215,0.3483,0.1833,0.6493,0.0966,0.144,0.8976,0.2476,1303.568,0.9441,0.0061,0.0,06ab3d17-e68f-4f9b-a36b-a6e3d7d2ef36,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0157,0.0868,0.0315,0.195,0.0127,0.0246,0.7948,0.0264,780.765,0.9954,0.0318,0.0,e76d0dee-ea67-4f59-a97e-28a88993ac5b,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0739,0.2629,0.1314,0.5103,0.0687,0.1063,0.8525,0.0262,2090.5911,0.9942,0.0345,0.0,4bab1b7c-1d29-4833-a6cc-03d4cfb7327c,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0737,0.2629,0.1312,0.5096,0.0685,0.1061,0.8525,0.0262,2090.532,0.9942,0.0345,0.0,e1f2385d-adec-45ab-a748-07df34099f09,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0895,0.2934,0.1518,0.5639,0.0803,0.1231,0.8782,0.0834,1828.8318,0.9874,0.0134,0.0002,a81a40e9-530b-428f-afea-2f96cc73eeff,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1708,0.4357,0.2505,0.753,0.1444,0.1929,0.919,0.4769,1168.291,0.8925,0.0035,0.0001,3516d0d6-2366-429f-ba6d-fc1c6cfa159e,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1707,0.4325,0.2502,0.7531,0.1447,0.1937,0.9204,0.4764,1130.7545,0.8805,0.0036,0.0,1db3ad54-7409-434d-a27c-2dee49f237e0,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0741,0.2609,0.1309,0.5106,0.0682,0.1064,0.8523,0.0259,2091.3805,0.9942,0.0348,0.0,225bb6d6-0479-4ea3-898e-735545fd0c12,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0552,0.2223,0.1042,0.4407,0.0514,0.0853,0.8495,0.0262,1823.7766,0.9949,0.0331,0.0,637265e8-dcfd-4d18-b50f-5022f1be138a,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.0737,0.2629,0.1312,0.5096,0.0685,0.1061,0.8525,0.0262,2090.532,0.9942,0.0345,0.0,9361b957-3991-4fd8-ac4a-d2d808ecc8a9,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1215,0.3483,0.1833,0.6493,0.0966,0.144,0.8976,0.2476,1303.568,0.9441,0.0061,0.0,550ba28e-0921-46da-8a69-7163610eca57,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
0.1708,0.4357,0.2505,0.753,0.1444,0.1929,0.919,0.4769,1168.291,0.8925,0.0035,0.0001,f188b38b-3a28-488c-b91a-03b02a6cfff7,MOVIELENS_1M_MULTIDAE_PARAMS_TUNING_1703496904
