recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1212,0.3661,0.2004,0.6578,0.1119,0.1628,0.9144,0.4581,1127.675,0.8966,0.0036,0.0002,bb9007c5-b520-4997-902f-cff353e665f3,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1354,0.3948,0.2212,0.6896,0.1266,0.1795,0.92,0.4171,1203.4649,0.9055,0.004,0.0001,eac73db4-d880-46f1-a91b-21ad30e91027,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.1112,0.3424,0.182,0.6364,0.098,0.1477,0.9083,0.4858,1082.2575,0.8837,0.0035,0.0001,d9d37dc3-2292-485e-901d-b77a32736489,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1521,0.4237,0.24,0.7308,0.1383,0.1909,0.9249,0.4932,1090.3547,0.8718,0.0035,0.0,e8fe3719-6dc1-41a2-b327-a91e5433162e,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.1642,0.4453,0.257,0.7434,0.1522,0.2024,0.9281,0.399,1130.2361,0.8907,0.0042,0.0,3052c554-65be-4575-8619-1d9cbd702ba4,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1433,0.4097,0.2315,0.7055,0.1337,0.1857,0.9241,0.4669,1127.8667,0.8838,0.0037,0.0,954da70b-4e18-4752-a639-b5c7eaf2d7c9,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.0734,0.262,0.1313,0.5028,0.0688,0.1064,0.8514,0.0347,2080.603,0.9941,0.0264,0.0001,3ea317a7-5d35-468a-9d79-cbbba5db0ace,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.1542,0.4363,0.2501,0.7175,0.1498,0.1975,0.9231,0.2544,1327.3161,0.9376,0.006,0.0,1a35bc75-9985-431f-8afa-842246334b30,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.0609,0.2302,0.1109,0.4611,0.0554,0.0917,0.8505,0.0336,1926.9496,0.9945,0.0267,0.0008,100d621e-6bef-4561-8a3a-41be0b2bc69d,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.0981,0.3161,0.1664,0.6015,0.0886,0.1363,0.9002,0.4462,1144.1876,0.9053,0.0036,0.0,2a97a3b3-aed4-45a9-8908-fd13d709c8e2,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1343,0.4069,0.2256,0.6841,0.1319,0.1795,0.9142,0.3674,1373.4691,0.9333,0.0041,0.0001,7556d5cc-9b4e-4e52-97df-47d5a55c9661,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1167,0.3593,0.1966,0.6465,0.11,0.1607,0.9131,0.4616,1152.6817,0.9013,0.0036,0.0002,a8d7c44d-b9cc-4381-8dbe-38f22422c2ce,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1115,0.3363,0.181,0.6351,0.0971,0.1479,0.9073,0.5096,1060.091,0.8767,0.0033,0.0001,d5cfae5d-a0ce-4cec-851b-2d44f9db4807,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1291,0.4008,0.2214,0.6742,0.1289,0.1781,0.9182,0.3233,1381.9243,0.939,0.0047,0.0001,2dd92d2c-43b6-4ac8-8401-3af46024cd3a,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.1582,0.4412,0.2536,0.7265,0.1519,0.2,0.9244,0.2832,1294.8174,0.9311,0.0055,0.0,6b8a19b5-4d53-4ca0-b41f-0aef793ebd22,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1404,0.4069,0.2274,0.7017,0.1301,0.1824,0.923,0.448,1169.9352,0.8923,0.0038,0.0,76a7b6db-ba0b-4bc5-97cb-66fb383ecea0,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.1208,0.3715,0.2045,0.6593,0.1161,0.1668,0.9149,0.3788,1280.4897,0.9214,0.0042,0.0,48f1dda3-4078-4648-8288-dbc51ee99da9,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711135329
0.163,0.4365,0.2516,0.743,0.1468,0.1982,0.9267,0.44,1096.8292,0.8802,0.0039,0.0,0ff909f5-b8e6-4744-a7fb-26ce091d07a2,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1162,0.3439,0.1917,0.6386,0.1069,0.1586,0.9115,0.3661,1023.6258,0.8861,0.0047,0.0001,18f8a458-dcaf-4a92-940d-6e2eff4adc1b,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
0.1212,0.366,0.2004,0.6523,0.1121,0.1621,0.9134,0.5023,1099.6499,0.8792,0.0034,0.0001,d961d6f9-dc5d-43bf-89c2-141dfe7bac5d,MOVIELENS_1M_NGCF_PARAMS_TUNING_1711370968
