recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0783,0.2773,0.1405,0.5371,0.0738,0.115,0.8738,0.0739,1855.8095,0.9897,0.0144,0.0,1f7c4ae6-60d1-44f9-baea-06c3a85fd564,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0961,0.2967,0.1569,0.5995,0.0807,0.131,0.8967,0.4281,1130.2289,0.9163,0.0037,0.0001,e2220fb8-5dae-4d2f-b6a6-cdb90a02efc3,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0732,0.2601,0.1305,0.5058,0.0683,0.1053,0.852,0.0259,2080.3451,0.9942,0.0348,0.0,e341120d-ddce-4413-b074-29b7e379daa7,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.125,0.3698,0.2029,0.6724,0.1128,0.1647,0.914,0.529,1080.4504,0.8786,0.0032,0.0001,dc9a3bbe-0bc0-4436-82f4-708d30d810a8,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0705,0.2514,0.1277,0.501,0.0669,0.1051,0.8517,0.0259,2042.6432,0.9943,0.0347,0.0,5832386c-c4f1-4dec-a70a-26912dedb157,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0732,0.2601,0.1305,0.5058,0.0683,0.1053,0.852,0.0259,2080.3305,0.9942,0.0348,0.0,c5706115-8e23-44ee-a53e-90cd15de6bec,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1131,0.3461,0.1882,0.6392,0.1032,0.1539,0.9079,0.4206,1203.2514,0.9176,0.0038,0.0001,f90229db-e777-457a-af89-b956408fb3b8,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0783,0.2772,0.1404,0.5346,0.0739,0.1148,0.874,0.0726,1840.7496,0.9893,0.0148,0.0,3d638e32-0df3-4bea-bd45-4a40ecd65935,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0737,0.2604,0.1306,0.5071,0.0682,0.1054,0.8516,0.0262,2084.6801,0.9942,0.0345,0.0,3c8a42fb-f784-40ba-aebb-3b9104e911e1,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0737,0.2604,0.1306,0.5071,0.0682,0.1054,0.8516,0.0262,2084.6801,0.9942,0.0345,0.0,77350deb-7a38-4e65-9ca4-d40e6260a8c1,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0777,0.2815,0.1418,0.5358,0.0749,0.1157,0.87,0.0585,1911.879,0.9907,0.0176,0.0,e0163c3f-57ba-4c3b-b8b8-056e98a280d3,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1237,0.3623,0.2008,0.6652,0.1119,0.1632,0.9139,0.5757,1066.062,0.8668,0.003,0.0003,2e8bfce3-87af-405e-8041-e18b85a8dd65,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0732,0.2601,0.1305,0.5058,0.0683,0.1053,0.852,0.0259,2080.3451,0.9942,0.0348,0.0,a8145ab9-d5d7-4d6c-90bc-55b9b377a4d8,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.072,0.254,0.1273,0.5086,0.0655,0.1047,0.8517,0.0267,2068.6355,0.9943,0.0337,0.0,3bcdc3c9-7c92-4f90-8b86-6c906972fbf2,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.072,0.2534,0.1289,0.5065,0.0675,0.1057,0.8519,0.0262,2055.0354,0.9943,0.0344,0.0,8be34522-9332-4136-802e-dd06654b715c,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0732,0.2601,0.1305,0.5058,0.0683,0.1053,0.852,0.0259,2080.3451,0.9942,0.0348,0.0,9978cf66-6593-4a01-9f7c-0b2b796682d0,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0737,0.2604,0.1307,0.5071,0.0683,0.1055,0.8516,0.0262,2084.6673,0.9942,0.0345,0.0,8a3bb8d7-d718-4a06-9def-bab295ee1210,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1235,0.3625,0.2007,0.6647,0.1119,0.163,0.9139,0.5759,1063.8681,0.8667,0.003,0.0003,18a5084f-123c-4c12-854d-6e333f2de6ff,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0737,0.2604,0.1307,0.5071,0.0683,0.1055,0.8516,0.0262,2084.6673,0.9942,0.0345,0.0,4d98693d-181d-4105-a21d-d8a68231eb29,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1238,0.3655,0.2007,0.6692,0.111,0.1637,0.9141,0.522,1069.9592,0.8768,0.0033,0.0002,8ab1c370-ee8b-4ed2-8004-7f82137abd1e,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1425,0.4094,0.2316,0.7068,0.1348,0.1859,0.9219,0.4643,1135.2896,0.8916,0.0036,0.0001,af445f23-2315-4dcb-9adf-b4c0b13551ef,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1235,0.3625,0.2007,0.6647,0.1119,0.163,0.9139,0.5759,1063.8681,0.8667,0.003,0.0003,e044b767-8069-4fdb-81ac-5f65abef5f52,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1434,0.411,0.2329,0.7083,0.1358,0.1871,0.9217,0.4516,1163.9154,0.8951,0.0037,0.0001,6b10ef77-844e-4cbf-9596-ff5b369d6186,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1467,0.411,0.2332,0.7103,0.1347,0.1861,0.9225,0.5093,1090.3966,0.8742,0.0034,0.0,362d7d53-0b28-43ba-8116-a5479fdc8807,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.125,0.3698,0.2029,0.6724,0.1128,0.1647,0.914,0.529,1080.4418,0.8786,0.0032,0.0001,ae33cbdc-d927-4e99-8eb1-7ec89df2b76e,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1443,0.4147,0.2342,0.7061,0.1366,0.1872,0.9224,0.4907,1092.7132,0.8767,0.0035,0.0,6653e39d-1a3e-4754-80b2-54372c87f12d,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1131,0.3457,0.1884,0.6397,0.1034,0.1543,0.9079,0.4203,1201.2935,0.9173,0.0038,0.0001,15820422-43aa-49e1-815a-69780adbfa67,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.072,0.2534,0.1289,0.5065,0.0675,0.1057,0.8519,0.0262,2055.0354,0.9943,0.0344,0.0,a2bf18b1-a4bf-460a-a963-76b10d694b90,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.074,0.2586,0.1303,0.5099,0.0679,0.1058,0.8522,0.0262,2077.5162,0.9943,0.0344,0.0,bb81d26a-7f26-4ebd-b3c8-3ac7d7759a4f,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0734,0.2634,0.1316,0.5091,0.0689,0.1061,0.8523,0.0264,2087.7797,0.9942,0.0341,0.0,9b083e95-1a5a-4188-aa14-7f3b1ebc3961,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0952,0.299,0.1576,0.5962,0.0814,0.1311,0.897,0.4297,1144.3855,0.9163,0.0037,0.0001,e7a4d6cd-ad34-4908-97bc-a244bacd9b48,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0952,0.299,0.1576,0.5962,0.0814,0.1311,0.897,0.4297,1144.3829,0.9163,0.0037,0.0001,10f1cfd6-983d-4332-8ecd-01bad35b22a0,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1202,0.3831,0.2085,0.6478,0.1202,0.1672,0.9112,0.293,1408.7612,0.9475,0.005,0.0002,568da926-a2bb-46fb-8a5a-74b933b1b284,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1051,0.347,0.1846,0.6144,0.103,0.1502,0.9021,0.1899,1578.3328,0.9701,0.007,0.0,45655452-2ca7-4ebe-b22e-59ba9a3ab088,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1463,0.4111,0.233,0.7093,0.1346,0.1859,0.9225,0.5098,1089.9482,0.874,0.0034,0.0,4044d7f4-3822-4b2e-813d-4224e8384952,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1435,0.4114,0.233,0.7083,0.1358,0.1873,0.9217,0.4518,1163.4273,0.8949,0.0037,0.0001,9a1c7de8-385d-40aa-931a-cc10c807f9dd,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.074,0.2586,0.1303,0.5098,0.0679,0.1058,0.8522,0.0262,2077.5176,0.9943,0.0344,0.0,a10a8fc2-98ea-463d-b7a7-6e16b7c44c4d,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0727,0.2571,0.1291,0.5093,0.0671,0.1054,0.852,0.0264,2073.3469,0.9943,0.034,0.0,30a1e389-512f-4edc-bdba-a3eaa0cbbd03,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1131,0.3461,0.1882,0.6392,0.1032,0.1539,0.9079,0.4206,1203.2514,0.9176,0.0038,0.0001,2b3da4ca-bb01-4346-95a4-6ad6734699e6,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1069,0.3488,0.1861,0.6215,0.104,0.1509,0.9045,0.225,1492.1919,0.9616,0.0062,0.0,1bbefb9e-5cde-466d-a9e4-f948838ab3ec,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0939,0.2992,0.1542,0.5909,0.0786,0.1266,0.8949,0.4923,1071.3535,0.8936,0.0033,0.0,eb39f3fe-3164-4eae-a4b5-5d6e01983ffc,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1119,0.3435,0.1849,0.6382,0.1004,0.1509,0.9068,0.4823,1140.2795,0.8967,0.0034,0.0002,b18818d9-838a-4965-85ed-e874c0edb959,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1445,0.4106,0.2325,0.7073,0.1349,0.1868,0.9218,0.4656,1126.878,0.8891,0.0036,0.0,b112bce7-a19e-433d-9d4f-11674e1e1e00,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0734,0.2635,0.1316,0.5091,0.069,0.1062,0.8523,0.0264,2087.7787,0.9942,0.0341,0.0,abd05802-66f3-4866-900b-2d6ba9d002d7,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1203,0.3831,0.2085,0.648,0.1202,0.1673,0.9112,0.2924,1408.5782,0.9475,0.005,0.0001,ba134132-20dd-4a89-838b-cc0a4ea86ab5,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1274,0.3913,0.216,0.6714,0.1247,0.1739,0.915,0.3593,1297.0833,0.9271,0.0043,0.0002,2cffa550-c4b1-43e4-a306-bf47eebbb0b7,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0734,0.2635,0.1316,0.5091,0.069,0.1062,0.8523,0.0264,2087.7787,0.9942,0.0341,0.0,5572adc2-6f92-4d97-a123-5a7d81a66226,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.1238,0.3655,0.2007,0.6692,0.111,0.1637,0.9141,0.522,1069.9272,0.8768,0.0033,0.0002,aa7d2db2-448e-4af0-a23d-ca22b1c22021,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0777,0.2813,0.1416,0.5358,0.0748,0.1155,0.8699,0.0585,1913.7319,0.9908,0.0176,0.0,a348168e-2089-406c-af21-b600a33b3971,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0732,0.2605,0.1311,0.5071,0.0687,0.1063,0.8516,0.0262,2075.6246,0.9942,0.0344,0.0,b758a07e-8033-4f2d-af62-8e4bc26b51f2,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.0732,0.2605,0.1311,0.5071,0.0687,0.1063,0.8516,0.0262,2075.6246,0.9942,0.0344,0.0,cb9330ed-c7e7-4a4f-b81c-92e30a2eead8,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
0.121,0.3505,0.1939,0.6581,0.1061,0.1583,0.9125,0.5781,1006.8146,0.8531,0.003,0.0004,27ef18f2-1cb1-4de8-a2a6-e8f4fc8b961a,MOVIELENS_1M_SPECTRALCF_PARAMS_TUNING_1705095905
